model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-BayesianVI-Optuna,ACQUA,t+1,train,10.5727,13.1417,0.4175,0.6475,-0.5963,26.53,23.26,20.75,0.1318,0.1638,80.2128,1108,3.9272,1.2692,13.0152,13.1047,0.0321,0.2004,0.4702,17.678,0.6552,26.0641,0.7942,33.5887,0.9242,43.1106,0.9702,51.3695,0.9991,67.5109
MLP-BayesianVI-Optuna,ACQUA,t+2,train,10.5432,13.123,0.4161,0.6469,-0.5924,26.52,23.25,20.74,0.1314,0.1636,80.2128,1108,3.9285,1.1737,12.9607,13.0366,0.0368,0.0965,0.4729,17.5861,0.6525,25.9287,0.7978,33.4141,0.9269,42.8866,0.9684,51.1025,1.0,67.1601
MLP-BayesianVI-Optuna,ACQUA,t+3,train,10.3785,13.0048,0.4231,0.652,-0.547,26.19,22.96,20.46,0.1294,0.1621,80.2128,1108,3.9099,1.2052,12.4544,12.5367,0.0366,0.1,0.4711,16.9117,0.6462,24.9344,0.778,32.1329,0.9106,41.2421,0.9684,49.143,0.9973,64.5848
MLP-BayesianVI-Optuna,ACQUA,t+4,train,10.2923,12.9368,0.4263,0.655,-0.8697,25.78,22.87,20.34,0.1283,0.1613,80.2128,1108,3.9004,1.1689,12.3972,12.4713,0.0407,0.0498,0.4666,16.8235,0.6534,24.8043,0.7942,31.9651,0.9116,41.0268,0.9621,48.8865,0.9955,64.2477
MLP-BayesianVI-Optuna,ACQUA,t+5,train,10.3414,12.9868,0.4199,0.6514,-1.1378,25.79,23.02,20.49,0.1289,0.1619,80.2128,1108,3.9075,1.1441,12.4556,12.529,0.0525,0.0043,0.4883,16.9013,0.6498,24.9191,0.7861,32.1131,0.9088,41.2167,0.9621,49.1127,0.9982,64.545
MLP-BayesianVI-Optuna,ACQUA,t+6,train,10.4435,13.045,0.4131,0.6464,-1.152,26.21,23.28,20.74,0.1302,0.1626,80.2128,1108,3.9139,1.1718,12.8785,12.9522,0.0553,0.0022,0.491,17.4722,0.6489,25.7608,0.7906,33.1977,0.926,42.6088,0.9738,50.7716,0.9982,66.7251
MLP-BayesianVI-Optuna,ACQUA,t+7,train,10.5522,13.1673,0.4001,0.6379,-1.4075,26.37,23.56,21.0,0.1316,0.1642,80.2128,1108,3.9261,1.1565,12.9191,12.9868,0.0582,0.001,0.4702,17.5189,0.6634,25.8296,0.7942,33.2864,0.9197,42.7227,0.9684,50.9072,0.9991,66.9034
MLP-BayesianVI-Optuna,ACQUA,ALL,train,10.4463,13.0582,0.4167,0.6479,-0.9004,26.2,23.17,20.64,0.1302,0.1628,80.2128,7756,3.9162,1.1842,12.7258,12.8025,0.04,0.0,0.4758,17.2702,0.6528,25.463,0.7907,32.814,0.9183,42.1163,0.9676,50.1847,0.9982,65.9539
MLP-BayesianVI-Optuna,ACQUA,t+1,val,9.4471,11.0586,0.3374,0.5833,-0.7117,21.98,20.35,18.53,0.171,0.2002,55.2461,141,3.8232,1.1815,13.4803,13.5586,0.1015,0.1023,0.4752,18.2903,0.773,26.9669,0.9504,34.7521,0.9858,44.6038,0.9929,53.1488,1.0,69.8493
MLP-BayesianVI-Optuna,ACQUA,t+2,val,9.3217,10.8859,0.3547,0.5977,-0.6229,21.71,20.15,18.43,0.1686,0.1969,55.2959,141,3.8205,1.0989,13.5077,13.5712,0.0949,0.1476,0.4752,18.3072,0.773,26.9919,0.9645,34.7843,0.9929,44.6451,1.0,53.198,1.0,69.914
MLP-BayesianVI-Optuna,ACQUA,t+3,val,9.5376,11.1405,0.3179,0.5647,-0.2123,22.36,20.69,19.08,0.1724,0.2014,55.3119,141,3.8258,1.091,12.9553,13.0157,0.0716,0.4447,0.4681,17.5579,0.7447,25.8872,0.8936,33.3606,0.9858,42.8179,0.9858,51.0207,1.0,67.0526
