model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-BayesianVI-Residual-Optuna,ACQUA,t+1,train,1.4466,3.3044,0.9632,0.9814,0.0084,3.21,3.17,2.84,0.018,0.0412,80.2128,1108,1.7958,0.2323,2.221,2.2407,0.0653,0.0001,0.6074,3.0227,0.7536,4.4566,0.8664,5.7432,0.9323,7.3713,0.9612,8.7835,0.9792,11.5435
MLP-BayesianVI-Residual-Optuna,ACQUA,t+2,train,2.4208,4.5576,0.9296,0.9642,-0.0249,5.34,5.2,4.76,0.0302,0.0568,80.2128,1108,2.3028,0.3569,3.1142,3.1452,0.0316,0.2153,0.537,4.2428,0.7112,6.2555,0.8249,8.0614,0.9097,10.3467,0.9531,12.3288,0.9819,16.2028
MLP-BayesianVI-Residual-Optuna,ACQUA,t+3,train,3.1196,5.356,0.9022,0.9498,-0.0637,6.83,6.65,6.15,0.0389,0.0668,80.2128,1108,2.5786,0.4537,3.8469,3.8866,0.0307,0.2438,0.5334,5.2429,0.7022,7.7301,0.8123,9.9617,0.9043,12.7857,0.9468,15.2351,0.9801,20.0224
MLP-BayesianVI-Residual-Optuna,ACQUA,t+4,train,3.6293,5.9492,0.8787,0.9375,-0.2186,7.94,7.75,7.17,0.0452,0.0742,80.2128,1108,2.7423,0.5154,4.4987,4.5428,0.0403,0.0529,0.5199,6.1281,0.7103,9.0352,0.833,11.6436,0.9025,14.9444,0.9504,17.8073,0.9829,23.4028
MLP-BayesianVI-Residual-Optuna,ACQUA,t+5,train,4.0716,6.467,0.8562,0.9258,-0.4701,8.95,8.79,8.07,0.0508,0.0806,80.2128,1108,2.8582,0.5897,5.0283,5.079,0.0398,0.0586,0.5343,6.8514,0.7076,10.1016,0.8267,13.0179,0.8989,16.7083,0.9567,19.9092,0.9801,26.1651
MLP-BayesianVI-Residual-Optuna,ACQUA,t+6,train,4.4625,6.8787,0.8368,0.9148,-0.1139,10.13,9.72,8.86,0.0556,0.0858,80.2128,1108,2.983,0.7087,5.7918,5.8552,0.0346,0.137,0.5343,7.8985,0.7229,11.6454,0.8384,15.0074,0.9125,19.2618,0.954,22.9518,0.9838,30.1638
MLP-BayesianVI-Residual-Optuna,ACQUA,t+7,train,4.8292,7.2784,0.8167,0.9038,-0.029,11.13,10.6,9.61,0.0602,0.0907,80.2128,1108,3.0968,0.8112,6.4351,6.5073,0.0449,0.022,0.5361,8.7783,0.7202,12.9426,0.8366,16.679,0.9143,21.4073,0.9558,25.5083,0.9892,33.5236
MLP-BayesianVI-Residual-Optuna,ACQUA,ALL,train,3.4256,5.8295,0.8838,0.9402,-0.1302,7.65,7.41,6.77,0.0427,0.0727,80.2128,7756,2.6225,0.524,4.4194,4.4652,0.0314,0.0,0.5432,6.0235,0.7183,8.881,0.8341,11.4449,0.9106,14.6894,0.954,17.5034,0.9825,23.0034
MLP-BayesianVI-Residual-Optuna,ACQUA,t+1,val,1.2716,2.5023,0.9661,0.9829,0.031,2.64,2.64,2.49,0.023,0.0453,55.2461,141,1.9476,0.213,2.033,2.0489,0.112,0.0536,0.7021,2.7639,0.8014,4.075,0.8652,5.2515,0.9149,6.7402,0.9291,8.0315,0.9716,10.5551
MLP-BayesianVI-Residual-Optuna,ACQUA,t+2,val,2.2323,3.957,0.9147,0.9569,-0.4104,4.68,4.66,4.41,0.0404,0.0716,55.2959,141,2.4188,0.2996,2.9637,2.9879,0.147,0.004,0.6596,4.0306,0.7447,5.9426,0.844,7.6582,0.9007,9.8292,0.9291,11.7122,0.9645,15.3924
