coltura,fase,valore_libro,metodo,scala_puntuale,scala_media,scala_std,scala_p5,scala_p95,kc_assoluto,kc_p5,kc_p95
carciofo,kc_ini,0.5,Metropolis-Hastings,,0.9292881922861264,0.5279796200990035,0.16638324597259158,1.8358591486702531,0.4646440961430632,0.08319162298629579,0.9179295743351266
carciofo,kc_ini,0.5,NNLS (regressione vincolata),0.0,,,,,0.0,,
carciofo,kc_ini,0.5,Bootstrap (NNLS),,0.2943397988319915,0.5720994555921556,0.0,1.6128435970931603,0.14716989941599576,0.0,0.8064217985465801
carciofo,kc_mid,1.0,Metropolis-Hastings,,1.094884197744071,0.6223482674138963,0.21105022840311372,2.226711381566588,1.094884197744071,0.21105022840311372,2.226711381566588
carciofo,kc_mid,1.0,NNLS (regressione vincolata),0.0,,,,,0.0,,
carciofo,kc_mid,1.0,Bootstrap (NNLS),,0.7913407604531524,2.1159292451656015,0.0,5.686870910112817,0.7913407604531524,0.0,5.686870910112817
carciofo,kc_end,0.95,Metropolis-Hastings,,1.1196813081476353,0.6455469433518839,0.18694979873683323,2.312742288977574,1.0636972427402536,0.17760230879999156,2.197105174528695
carciofo,kc_end,0.95,NNLS (regressione vincolata),0.0,,,,,0.0,,
carciofo,kc_end,0.95,Bootstrap (NNLS),,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mais,kc_ini,0.3,Metropolis-Hastings,,0.7921098159776423,0.49358574305230113,0.13112711731509538,1.7319552307782724,0.23763294479329267,0.03933813519452861,0.5195865692334817
mais,kc_ini,0.3,NNLS (regressione vincolata),0.0,,,,,0.0,,
mais,kc_ini,0.3,Bootstrap (NNLS),,0.2379927026605049,0.5653539576307207,0.0,1.4940052371399735,0.07139781079815147,0.0,0.44820157114199205
mais,kc_mid,1.2,Metropolis-Hastings,,0.5332364139347837,0.2737044327086026,0.1222332997453267,0.9966453442983861,0.6398836967217404,0.14667995969439204,1.1959744131580634
mais,kc_mid,1.2,NNLS (regressione vincolata),0.4073855536317617,,,,,0.48886266435811404,,
mais,kc_mid,1.2,Bootstrap (NNLS),,0.3999308210217577,0.2855414659651391,0.0,0.9128141014047579,0.4799169852261092,0.0,1.0953769216857094
mais,kc_end,0.5,Metropolis-Hastings,,1.134817666707172,0.5927746962187458,0.23590944398387642,2.146132337997245,0.567408833353586,0.11795472199193821,1.0730661689986225
mais,kc_end,0.5,NNLS (regressione vincolata),0.0,,,,,0.0,,
mais,kc_end,0.5,Bootstrap (NNLS),,0.0494311085955561,0.337551310256869,0.0,0.0,0.02471555429777805,0.0,0.0
melissa,kc_ini,0.4,Metropolis-Hastings,,0.6010931040902868,0.4081633448303399,0.09697155075978471,1.3665690308128031,0.24043724163611474,0.03878862030391389,0.5466276123251212
melissa,kc_ini,0.4,NNLS (regressione vincolata),0.0,,,,,0.0,,
melissa,kc_ini,0.4,Bootstrap (NNLS),,0.023759292255970937,0.15325605033191753,0.0,0.0,0.009503716902388375,0.0,0.0
melissa,kc_mid,1.1,Metropolis-Hastings,,0.5656592403801078,0.36718703019604443,0.09443418789477954,1.233429741510762,0.6222251644181187,0.10387760668425751,1.3567727156618383
melissa,kc_mid,1.1,NNLS (regressione vincolata),0.0,,,,,0.0,,
melissa,kc_mid,1.1,Bootstrap (NNLS),,0.11495122228480283,0.24048321697996014,0.0,0.6769162677761479,0.12644634451328313,0.0,0.7446078945537628
melissa,kc_end,0.7,Metropolis-Hastings,,0.7544851611463639,0.4806449566142886,0.1206075035571077,1.6847893839748598,0.5281396128024547,0.08442525248997539,1.1793525687824018
melissa,kc_end,0.7,NNLS (regressione vincolata),0.0,,,,,0.0,,
melissa,kc_end,0.7,Bootstrap (NNLS),,0.0,0.0,0.0,0.0,0.0,0.0,0.0
passiflora,kc_ini,0.5,Metropolis-Hastings,,0.5861974302633773,0.4092213917982079,0.08583334605494529,1.340222035017039,0.29309871513168867,0.042916673027472645,0.6701110175085195
passiflora,kc_ini,0.5,NNLS (regressione vincolata),0.0,,,,,0.0,,
passiflora,kc_ini,0.5,Bootstrap (NNLS),,0.005261773757692591,0.07645977691909085,0.0,0.0,0.0026308868788462955,0.0,0.0
passiflora,kc_mid,1.05,Metropolis-Hastings,,0.9603579158456762,0.518834451390633,0.19863381219960213,1.9128098129013515,1.00837581163796,0.20856550280958225,2.0084503035464194
passiflora,kc_mid,1.05,NNLS (regressione vincolata),0.6407687505002789,,,,,0.6728071880252929,,
passiflora,kc_mid,1.05,Bootstrap (NNLS),,0.7506261889175755,0.6287298916220477,0.0,1.8090177862908061,0.7881574983634543,0.0,1.8994686756053465
passiflora,kc_end,0.8,Metropolis-Hastings,,1.1206310608820873,0.5968616457786493,0.2139413858228417,2.191002641108057,0.8965048487056699,0.17115310865827338,1.7528021128864457
passiflora,kc_end,0.8,NNLS (regressione vincolata),0.0,,,,,0.0,,
passiflora,kc_end,0.8,Bootstrap (NNLS),,0.0,0.0,0.0,0.0,0.0,0.0,0.0
