coltura,fase,libro,Bootstrap,MH,NNLS
carciofo,kc_end,0.95,0.0,1.0636972427402536,0.0
carciofo,kc_ini,0.5,0.14716989941599576,0.4646440961430632,0.0
carciofo,kc_mid,1.0,0.7913407604531524,1.094884197744071,0.0
mais,kc_end,0.5,0.02471555429777805,0.567408833353586,0.0
mais,kc_ini,0.3,0.07139781079815147,0.23763294479329267,0.0
mais,kc_mid,1.2,0.4799169852261092,0.6398836967217404,0.48886266435811404
melissa,kc_end,0.7,0.0,0.5281396128024547,0.0
melissa,kc_ini,0.4,0.009503716902388375,0.24043724163611474,0.0
melissa,kc_mid,1.1,0.12644634451328313,0.6222251644181187,0.0
passiflora,kc_end,0.8,0.0,0.8965048487056699,0.0
passiflora,kc_ini,0.5,0.0026308868788462955,0.29309871513168867,0.0
passiflora,kc_mid,1.05,0.7881574983634543,1.00837581163796,0.6728071880252929
