model,horizon,split,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
Penman-Monteith,t+1,train,1281,1.9016,4.9511,0.9206,384,2.3505,897,1.7094
Penman-Monteith,t+2,train,1278,3.2894,7.1779,0.8319,382,3.7422,896,3.0963
Penman-Monteith,t+3,train,1275,4.4401,8.3941,0.7682,380,4.914,895,4.2389
Penman-Monteith,t+4,train,1272,5.3483,9.1259,0.7239,380,5.645,892,5.2219
Penman-Monteith,t+5,train,1269,6.0565,9.6042,0.692,380,6.1675,889,6.0091
Penman-Monteith,t+6,train,1266,6.7455,10.2459,0.6473,380,7.0672,886,6.6075
Penman-Monteith,t+7,train,1263,7.4302,10.9793,0.5931,380,7.6995,883,7.3143
Penman-Monteith,ALL,train,8904,5.0218,8.8363,0.7415,2666,5.3637,6238,4.8756
Penman-Monteith,t+1,val,184,2.3542,5.5757,0.7548,57,4.063,127,1.5873
Penman-Monteith,t+2,val,180,3.895,7.6143,0.5541,53,6.0759,127,2.9848
Penman-Monteith,t+3,val,176,4.5014,8.1258,0.5107,53,6.276,123,3.7368
Penman-Monteith,t+4,val,172,4.9442,8.3099,0.5072,49,4.977,123,4.9312
Penman-Monteith,t+5,val,168,5.5541,8.7652,0.4737,49,5.4919,119,5.5797
Penman-Monteith,t+6,val,164,5.8662,8.8684,0.4745,49,5.3336,115,6.0931
Penman-Monteith,t+7,val,160,5.9482,8.6042,0.5143,49,4.5713,111,6.556
Penman-Monteith,ALL,val,1204,4.6709,8.0129,0.5415,359,5.2495,845,4.4251
Penman-Monteith,t+1,test,154,2.4788,5.8127,0.7648,36,5.6631,118,1.5073
Penman-Monteith,t+2,test,154,3.9671,7.1618,0.6302,36,5.5944,118,3.4706
Penman-Monteith,t+3,test,154,4.9781,7.8972,0.5378,36,6.3263,118,4.5668
Penman-Monteith,t+4,test,154,5.5885,8.3607,0.4715,36,6.9464,118,5.1743
Penman-Monteith,t+5,test,154,6.1535,8.8073,0.4075,36,8.1459,118,5.5457
Penman-Monteith,t+6,test,154,6.7736,9.3865,0.3406,36,7.5785,118,6.5281
Penman-Monteith,t+7,test,154,7.404,9.8254,0.2619,36,8.1797,118,7.1673
Penman-Monteith,ALL,test,1078,5.3348,8.277,0.4929,252,6.9192,826,4.8514
