split,sensore,n_giorni,n_giorni_pioggia,pct_pioggia,n_giorni_irrigazione,pct_irrigazione,n_giorni_evento_acqua,pct_evento_acqua
train,TUTTI,1563,453,28.98,21,1.34,470,30.07
train,EM-500-1,67,26,38.81,0,0.0,26,38.81
train,EM-500-10,212,59,27.83,2,0.94,60,28.3
train,EM-500-11,200,52,26.0,2,1.0,53,26.5
train,EM-500-12,246,70,28.46,3,1.22,73,29.67
train,EM-500-14,63,26,41.27,0,0.0,26,41.27
train,EM-500-15,114,33,28.95,1,0.88,34,29.82
train,EM-500-16,114,33,28.95,1,0.88,34,29.82
train,EM-500-18,46,11,23.91,2,4.35,13,28.26
train,EM-500-19,46,19,41.3,0,0.0,19,41.3
train,EM-500-2,54,13,24.07,1,1.85,14,25.93
train,EM-500-20,109,34,31.19,2,1.83,35,32.11
train,EM-500-3,102,24,23.53,3,2.94,27,26.47
train,EM-500-4,64,17,26.56,2,3.12,18,28.12
train,EM-500-8,30,9,30.0,1,3.33,10,33.33
train,EM-500-9,96,27,28.12,1,1.04,28,29.17
val,TUTTI,329,99,30.09,5,1.52,104,31.61
val,EM-500-1,14,2,14.29,1,7.14,3,21.43
val,EM-500-10,45,13,28.89,0,0.0,13,28.89
val,EM-500-11,43,19,44.19,0,0.0,19,44.19
val,EM-500-12,52,17,32.69,0,0.0,17,32.69
val,EM-500-14,13,2,15.38,1,7.69,3,23.08
val,EM-500-15,24,8,33.33,1,4.17,9,37.5
val,EM-500-16,24,8,33.33,1,4.17,9,37.5
val,EM-500-18,10,3,30.0,0,0.0,3,30.0
val,EM-500-19,9,0,0.0,0,0.0,0,0.0
val,EM-500-2,11,1,9.09,0,0.0,1,9.09
val,EM-500-20,23,8,34.78,1,4.35,9,39.13
val,EM-500-3,22,9,40.91,0,0.0,9,40.91
val,EM-500-4,13,0,0.0,0,0.0,0,0.0
val,EM-500-8,6,1,16.67,0,0.0,1,16.67
val,EM-500-9,20,8,40.0,0,0.0,8,40.0
test,TUTTI,350,65,18.57,14,4.0,78,22.29
test,EM-500-1,15,2,13.33,1,6.67,3,20.0
test,EM-500-10,46,13,28.26,0,0.0,13,28.26
test,EM-500-11,44,11,25.0,2,4.55,12,27.27
test,EM-500-12,54,14,25.93,0,0.0,14,25.93
test,EM-500-14,15,2,13.33,1,6.67,3,20.0
test,EM-500-15,25,3,12.0,1,4.0,4,16.0
test,EM-500-16,25,3,12.0,1,4.0,4,16.0
test,EM-500-18,11,0,0.0,0,0.0,0,0.0
test,EM-500-19,11,2,18.18,0,0.0,2,18.18
test,EM-500-2,13,2,15.38,1,7.69,3,23.08
test,EM-500-20,24,3,12.5,1,4.17,4,16.67
test,EM-500-3,23,2,8.7,1,4.35,3,13.04
test,EM-500-4,15,5,33.33,0,0.0,5,33.33
test,EM-500-8,7,1,14.29,1,14.29,2,28.57
test,EM-500-9,22,2,9.09,4,18.18,6,27.27
