model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+1,train,10.0439,12.5284,0.4706,0.7007,0.1013,26.03,22.27,19.71,0.1252,0.1562,80.2128,1108,3.8699,2.2142,12.8862,13.1762,0.0441,0.026,0.4973,17.7744,0.6751,26.2064,0.8348,33.772,0.9495,43.3459,0.9856,51.6498,1.0,67.8794
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+2,train,9.9219,12.4011,0.4786,0.7074,0.0782,25.77,22.07,19.51,0.1237,0.1546,80.2128,1108,3.86,2.2063,12.7423,13.0325,0.044,0.0267,0.5045,17.5806,0.6697,25.9206,0.8384,33.4037,0.9522,42.8732,0.9829,51.0865,1.0,67.1391
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+3,train,9.7744,12.2603,0.4873,0.7148,0.1156,25.51,21.82,19.27,0.1219,0.1528,80.2128,1108,3.8515,2.2059,12.6159,12.9076,0.0397,0.0587,0.5171,17.4121,0.6769,25.6721,0.8321,33.0835,0.9477,42.4623,0.9865,50.5969,0.9991,66.4956
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+4,train,9.6507,12.1417,0.4946,0.7203,0.1148,25.28,21.63,19.07,0.1203,0.1514,80.2128,1108,3.8453,2.2369,12.5694,12.869,0.0377,0.0832,0.5298,17.36,0.676,25.5954,0.8394,32.9846,0.9513,42.3353,0.9874,50.4456,0.9991,66.2968
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+5,train,9.6296,12.1237,0.4944,0.7187,-0.0115,25.27,21.65,19.08,0.1201,0.1511,80.2128,1108,3.8462,2.2467,12.5705,12.8731,0.0391,0.0654,0.5171,17.3656,0.6796,25.6035,0.833,32.9951,0.9477,42.3488,0.9901,50.4617,0.9991,66.3179
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+6,train,9.6997,12.1711,0.4891,0.7146,-0.0956,25.49,21.84,19.26,0.1209,0.1517,80.2128,1108,3.8541,2.2266,12.6485,12.9475,0.0393,0.0631,0.5081,17.4659,0.6778,25.7515,0.8384,33.1857,0.9468,42.5934,0.9901,50.7532,0.9991,66.701
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+7,train,9.836,12.2521,0.4806,0.7077,-0.2071,25.8,22.17,19.57,0.1226,0.1527,80.2128,1108,3.8623,2.1918,12.6837,12.9767,0.0406,0.0505,0.5072,17.5052,0.6733,25.8095,0.8339,33.2605,0.9486,42.6894,0.9865,50.8675,0.9991,66.8513
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,ALL,train,9.7937,12.2691,0.4851,0.712,0.0137,25.59,21.92,19.36,0.1221,0.153,80.2128,7756,3.8556,2.2183,12.6738,12.9689,0.0399,0.0,0.5116,17.4948,0.6755,25.7941,0.8357,33.2407,0.9491,42.664,0.987,50.8373,0.9994,66.8116
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+1,val,10.056,11.56,0.1993,0.4466,-0.1552,24.21,21.8,20.14,0.1838,0.2113,54.7076,135,3.8659,1.6351,13.7352,13.8852,0.1277,0.0223,0.5259,18.7309,0.7259,27.6166,0.8815,35.5893,1.0,45.6783,1.0,54.4291,1.0,71.532
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+2,val,9.9894,11.5779,0.1881,0.4339,0.1696,24.24,21.74,20.17,0.1807,0.2094,55.2959,135,3.8664,1.6131,13.593,13.7385,0.0962,0.1537,0.5333,18.533,0.7185,27.3247,0.8741,35.2132,1.0,45.1957,1.0,53.854,1.0,70.7761
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+3,val,10.0283,11.6347,0.1733,0.4208,0.7433,24.65,21.94,20.49,0.1905,0.2211,52.6303,135,3.868,1.6038,13.4624,13.6065,0.0888,0.2238,0.5037,18.3548,0.6963,27.0621,0.8889,34.8747,1.0,44.7612,1.0,53.3363,1.0,70.0958
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+4,val,10.099,11.7074,0.1532,0.4044,1.1992,25.08,22.2,20.88,0.1989,0.2305,50.782,135,3.87,1.6809,13.4322,13.591,0.0896,0.2153,0.4741,18.334,0.6741,27.0314,0.8667,34.8351,1.0,44.7104,1.0,53.2758,1.0,70.0162
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+5,val,10.1691,11.7888,0.1347,0.3868,1.3551,25.36,22.46,21.22,0.1988,0.2305,51.1448,135,3.8772,1.7356,13.4381,13.6069,0.0843,0.2771,0.4667,18.3555,0.6815,27.063,0.8593,34.876,1.0,44.7628,1.0,53.3382,1.0,70.0983
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+6,val,10.2487,11.9232,0.1065,0.3546,1.3599,25.59,22.69,21.47,0.2024,0.2354,50.6437,135,3.8886,1.7111,13.5086,13.6723,0.0855,0.2621,0.4593,18.4437,0.6815,27.1931,0.8519,35.0435,1.0,44.9779,1.0,53.5945,1.0,70.4351
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+7,val,10.5079,12.2568,0.0843,0.3221,1.1422,26.09,23.23,22.03,0.2006,0.234,52.3881,135,3.9101,1.6471,13.4876,13.6433,0.0881,0.2317,0.4667,18.4046,0.6741,27.1355,0.8296,34.9693,0.9852,44.8826,0.9926,53.4809,1.0,70.2859
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,ALL,val,10.1569,11.7806,0.1524,0.398,0.8306,25.03,22.29,20.9,0.183,0.2122,55.5171,945,3.878,1.6609,13.5224,13.6777,0.0753,0.0,0.4899,18.4509,0.6931,27.2038,0.8646,35.0573,0.9979,44.9956,0.9989,53.6155,1.0,70.4628
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+1,test,10.8506,12.9067,0.0371,0.274,-0.5669,25.59,23.62,22.34,0.207,0.2462,52.4191,144,3.9965,2.3493,14.0608,14.3823,0.0651,0.5536,0.4861,19.4014,0.6597,28.6052,0.8472,36.8633,0.9583,47.3135,0.9653,56.3775,0.9931,74.0927
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+2,test,10.7025,12.8308,0.0155,0.2557,-0.3241,25.42,23.42,22.19,0.204,0.2446,52.4615,144,3.9931,2.3346,13.9384,14.2548,0.0562,0.7317,0.4722,19.2295,0.7083,28.3517,0.8403,36.5366,0.9444,46.8943,0.9653,55.878,0.9931,73.4361
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+3,test,10.4207,12.4934,0.0385,0.2849,-0.1132,24.98,23.0,21.72,0.1986,0.2381,52.4615,144,3.9674,2.3208,13.804,14.1155,0.0568,0.7196,0.5139,19.0415,0.7222,28.0745,0.8611,36.1794,0.9722,46.4358,0.9722,55.3316,0.9861,72.7181
MLP-Gaussian-DeepEnsemble-Optuna,ACQUA,t+4,test,10.526,12.8092,-0.0267,0.2235,0.043,25.33,23.28,22.07,0.2006,0.2442,52.4615,144,3.9915,2.395,13.7644,14.0952,0.0547,0.761,0.5347,19.0142,0.7222,28.0342,0.8333,36.1275,0.9583,46.3691,0.9653,55.2522,0.9792,72.6138
