model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+1,train,1.4501,3.4089,0.9608,0.9802,-0.0851,3.18,3.18,2.85,0.0181,0.0425,80.2128,1108,1.9736,0.3332,2.5838,2.6124,0.1293,0.0,0.7365,3.5241,0.8601,5.1958,0.9088,6.6958,0.9531,8.594,0.9711,10.2404,0.9865,13.4581
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+2,train,2.3811,4.6314,0.9273,0.963,-0.1146,5.17,5.14,4.68,0.0297,0.0577,80.2128,1108,2.4596,0.5661,3.8552,3.9104,0.1046,0.0,0.6823,5.275,0.8258,7.7774,0.8881,10.0227,0.9395,12.864,0.963,15.3284,0.9874,20.1449
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+3,train,3.1691,5.4358,0.8992,0.9483,-0.0703,6.91,6.82,6.25,0.0395,0.0678,80.2128,1108,2.7351,0.6192,4.7772,4.8303,0.0738,0.0,0.63,6.516,0.8014,9.6071,0.8755,12.3806,0.9305,15.8903,0.9693,18.9344,0.9874,24.884
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+4,train,3.7365,6.0762,0.8734,0.9346,-0.1323,8.21,8.06,7.38,0.0466,0.0758,80.2128,1108,2.903,0.6586,5.4402,5.4938,0.0724,0.0,0.62,7.411,0.7915,10.9266,0.8745,14.0811,0.9242,18.0729,0.9666,21.5351,0.9856,28.302
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+5,train,4.187,6.6035,0.85,0.922,-0.1677,9.32,9.1,8.3,0.0522,0.0823,80.2128,1108,3.0297,0.6952,6.0253,6.0814,0.0686,0.0001,0.6137,8.2036,0.7834,12.0953,0.8664,15.5871,0.9305,20.0059,0.9639,23.8385,0.9847,31.3291
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+6,train,4.6,7.0739,0.8274,0.9097,-0.1298,10.42,10.07,9.13,0.0573,0.0882,80.2128,1108,3.1382,0.7625,6.5726,6.6332,0.0655,0.0001,0.6155,8.948,0.7717,13.1928,0.8628,17.0015,0.9323,21.8212,0.9576,26.0016,0.9883,34.1719
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+7,train,5.0117,7.5127,0.8047,0.8971,-0.1052,11.51,11.03,9.97,0.0625,0.0937,80.2128,1108,3.2364,0.9068,7.0962,7.1756,0.064,0.0002,0.6083,9.6797,0.769,14.2716,0.8592,18.3917,0.9224,23.6055,0.9594,28.1277,0.9883,36.9661
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,ALL,train,3.5051,5.9717,0.878,0.9371,-0.115,7.82,7.63,6.93,0.0437,0.0744,80.2128,7756,2.7822,0.6488,5.1929,5.2481,0.0787,0.0,0.6438,7.0796,0.8004,10.4381,0.8765,13.4515,0.9332,17.2648,0.9644,20.5723,0.9868,27.0366
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+1,val,1.1994,2.4939,0.9627,0.9812,0.0351,2.53,2.56,2.4,0.0219,0.0456,54.7076,135,2.038,0.2878,2.787,2.8066,0.1837,0.0002,0.763,3.786,0.8444,5.582,0.8963,7.1935,0.9704,9.2327,0.9704,11.0015,0.9778,14.4584
MLP-Gaussian-DeepEnsemble-Residual-Optuna,ACQUA,t+2,val,2.1753,3.8089,0.9121,0.9552,-0.1605,4.56,4.56,4.39,0.0393,0.0689,55.2959,135,2.5199,0.4426,4.0172,4.0505,0.15,0.0041,0.7407,5.464,0.8296,8.056,0.9037,10.3818,0.9556,13.3249,0.9704,15.8776,0.9778,20.8667
