model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+1,train,1.4054,3.3185,0.9629,0.9813,-0.0982,3.06,3.07,2.76,0.0175,0.0414,80.2128,1108,1.845,0.3286,2.3753,2.4058,0.1181,0.0,0.7184,3.2454,0.8574,4.785,0.9125,6.1664,0.9549,7.9145,0.9711,9.4307,0.991,12.394
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+2,train,2.2951,4.4589,0.9326,0.9657,-0.0363,5.01,4.95,4.51,0.0286,0.0556,80.2128,1108,2.333,0.5244,3.5232,3.5719,0.1069,0.0,0.6525,4.8184,0.8159,7.1042,0.8917,9.1551,0.9404,11.7505,0.9648,14.0015,0.9883,18.4011
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+3,train,2.9567,5.091,0.9116,0.9548,0.0207,6.49,6.36,5.83,0.0369,0.0635,80.2128,1108,2.6016,0.6764,4.39,4.4538,0.0908,0.0,0.639,6.0081,0.7987,8.8583,0.8818,11.4157,0.9477,14.6518,0.9711,17.4588,0.9919,22.9447
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+4,train,3.4733,5.6255,0.8915,0.9442,0.027,7.75,7.52,6.86,0.0433,0.0701,80.2128,1108,2.7747,0.75,5.0197,5.0903,0.0746,0.0,0.6164,6.8667,0.7789,10.1242,0.8809,13.047,0.9341,16.7457,0.9756,19.9537,0.9919,26.2236
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+5,train,3.8674,6.0453,0.8743,0.9351,0.111,8.76,8.44,7.66,0.0482,0.0754,80.2128,1108,2.9,0.7991,5.5261,5.6016,0.0723,0.0,0.6119,7.5564,0.7798,11.1411,0.8736,14.3574,0.9359,18.4275,0.9702,21.9578,0.9919,28.8574
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+6,train,4.27,6.5185,0.8534,0.9239,0.171,9.84,9.38,8.48,0.0532,0.0813,80.2128,1108,3.0101,0.8185,6.0475,6.1219,0.0721,0.0,0.6101,8.2584,0.7708,12.176,0.87,15.6912,0.9359,20.1394,0.9648,23.9976,0.9928,31.5381
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+7,train,4.6605,6.9848,0.8312,0.9118,0.1767,10.88,10.3,9.27,0.0581,0.0871,80.2128,1108,3.1052,0.9303,6.5052,6.5937,0.0666,0.0001,0.6056,8.8947,0.7599,13.1143,0.8646,16.9003,0.9341,21.6913,0.972,25.8467,0.9919,33.9684
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,ALL,train,3.2755,5.5586,0.8943,0.9457,0.0531,7.4,7.15,6.47,0.0408,0.0693,80.2128,7756,2.6528,0.6896,4.7696,4.8342,0.0816,0.0,0.6363,6.5212,0.7945,9.6147,0.8822,12.3904,0.9404,15.9029,0.97,18.9495,0.9914,24.9039
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+1,val,1.1679,2.4344,0.9645,0.9821,-0.0309,2.46,2.49,2.34,0.0213,0.0445,54.7076,135,1.9133,0.2633,2.3508,2.3719,0.1621,0.0014,0.7704,3.1996,0.8889,4.7174,0.9111,6.0793,0.963,7.8027,0.9778,9.2975,0.9852,12.219
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+2,val,2.1911,3.818,0.9117,0.9549,-0.1271,4.67,4.66,4.42,0.0396,0.069,55.2959,135,2.4559,0.4487,3.4194,3.4584,0.1221,0.0326,0.6741,4.6653,0.8296,6.8784,0.9037,8.8641,0.9481,11.377,0.963,13.5565,0.9778,17.8163
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+3,val,2.8086,4.2737,0.8885,0.9428,-0.0771,6.21,6.04,5.74,0.0534,0.0812,52.6303,135,2.646,0.5747,4.3202,4.3711,0.0971,0.147,0.637,5.8965,0.8,8.6938,0.8963,11.2036,0.963,14.3797,0.9704,17.1344,0.9926,22.5185
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+4,val,3.2584,4.6542,0.8662,0.9315,0.0676,7.43,7.11,6.74,0.0642,0.0917,50.782,135,2.8031,0.6572,5.0844,5.1422,0.1114,0.065,0.6148,6.9367,0.7481,10.2274,0.9111,13.18,0.9778,16.9163,0.9778,20.157,0.9926,26.4908
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+5,val,3.7386,5.1804,0.8329,0.9142,0.2634,8.75,8.25,7.8,0.0731,0.1013,51.1448,135,2.9437,0.7181,5.6904,5.7519,0.0999,0.1263,0.6148,7.7592,0.7556,11.44,0.8741,14.7427,0.9778,18.9221,0.9778,22.547,0.9926,29.6318
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+6,val,4.2533,5.7017,0.7957,0.8941,0.334,9.95,9.36,8.91,0.084,0.1126,50.6437,135,3.0848,0.7779,6.362,6.4303,0.0846,0.2731,0.6,8.6744,0.7704,12.7894,0.8889,16.4816,0.963,21.1539,0.9704,25.2065,0.9926,33.1269
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+7,val,4.8037,6.346,0.7545,0.8717,0.2221,11.09,10.48,10.07,0.0917,0.1211,52.3881,135,3.2274,0.896,6.9327,7.0135,0.0769,0.3826,0.5481,9.461,0.7481,13.9492,0.8889,17.9762,0.9556,23.0722,0.9704,27.4922,0.9852,36.1309
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,ALL,val,3.1745,4.7816,0.8604,0.9282,0.0932,7.22,6.91,6.53,0.0572,0.0861,55.5171,945,2.7249,0.6194,4.88,4.9342,0.0949,0.0,0.637,6.6561,0.7915,9.8137,0.8963,12.6468,0.964,16.232,0.9725,19.3416,0.9884,25.4192
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+1,test,1.975,3.9074,0.9117,0.9549,0.0436,3.95,4.01,4.07,0.0377,0.0745,52.4191,144,4.5273,0.4778,3.1389,3.1971,0.1467,0.0036,0.6944,4.3128,0.7986,6.3587,0.8542,8.1944,0.8819,10.5174,0.9028,12.5322,0.9097,16.4701
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+2,test,3.2464,5.1926,0.8388,0.9169,0.337,6.72,6.65,6.73,0.0619,0.099,52.4615,144,3.7208,0.7648,4.7398,4.8389,0.1132,0.0459,0.6389,6.5276,0.75,9.6242,0.8264,12.4027,0.8611,15.9187,0.8819,18.9683,0.9097,24.9285
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+3,test,4.2305,6.3554,0.7512,0.8715,0.6841,9.04,8.71,8.82,0.0806,0.1211,52.4615,144,3.9649,0.9998,5.7679,5.9091,0.0973,0.1227,0.5972,7.9713,0.7569,11.7528,0.8056,15.1457,0.8472,19.4394,0.8889,23.1634,0.9028,30.4419
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+4,test,4.626,6.5932,0.728,0.8593,0.852,10.16,9.65,9.7,0.0882,0.1257,52.4615,144,3.674,1.1343,6.4396,6.6128,0.089,0.1918,0.625,8.9205,0.7778,13.1522,0.8194,16.9492,0.8819,21.754,0.8958,25.9215,0.9236,34.0666
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+5,test,5.0259,6.8438,0.7063,0.847,0.8521,11.16,10.57,10.55,0.0958,0.1305,52.4615,144,3.6161,1.2142,6.9132,7.1089,0.1076,0.0662,0.6319,9.5897,0.7778,14.1389,0.8194,18.2208,0.8681,23.3861,0.9097,27.8662,0.9514,36.6224
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+6,test,5.5916,7.6038,0.6423,0.8094,0.7829,12.25,11.63,11.73,0.1066,0.1449,52.4615,144,3.677,1.2674,7.4196,7.6264,0.1044,0.0805,0.5972,10.2878,0.7292,15.1682,0.7917,19.5472,0.8889,25.0885,0.9167,29.8948,0.9375,39.2885
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,t+7,test,6.4442,8.5602,0.5615,0.7611,1.0327,14.87,13.84,13.63,0.1056,0.1402,61.0471,144,3.8251,1.4061,7.8652,8.0848,0.0773,0.339,0.5556,10.9063,0.6944,16.08,0.7708,20.7222,0.8542,26.5967,0.9028,31.6919,0.9167,41.6502
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,ACQUA,ALL,test,4.4485,6.5903,0.736,0.862,0.6549,9.74,9.29,9.29,0.0702,0.104,63.3612,1008,3.8579,1.0378,6.0406,6.1968,0.0923,0.0,0.62,8.3594,0.755,12.325,0.8125,15.8832,0.869,20.3858,0.8998,24.2912,0.9216,31.924
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,TERRA,t+1,train,1.4747,2.9403,0.9708,0.9854,0.2023,3.37,3.29,2.89,0.0184,0.0367,80.2128,1108,2.1255,0.2913,3.0445,3.0637,0.2415,0.0,0.8276,4.1328,0.9007,6.0934,0.9323,7.8525,0.9585,10.0786,0.972,12.0094,0.9847,15.783
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,TERRA,t+2,train,2.3559,4.0763,0.9437,0.9718,0.3514,5.39,5.23,4.63,0.0294,0.0508,80.2128,1108,2.5111,0.4553,4.4106,4.4436,0.1998,0.0,0.7518,5.9944,0.8736,8.838,0.9314,11.3895,0.9585,14.6183,0.9738,17.4188,0.9865,22.8922
MLP-Gaussian-DeepEnsemble-Residual-Warmup-Optuna,TERRA,t+3,train,2.9404,4.7288,0.9237,0.9617,0.4589,6.8,6.52,5.8,0.0367,0.059,80.2128,1108,2.6957,0.6051,5.154,5.2038,0.1778,0.0,0.7004,7.0199,0.8466,10.35,0.9179,13.338,0.9576,17.1191,0.9765,20.3987,0.9883,26.8084
