model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Laplace-Optuna,ACQUA,t+1,train,10.0712,12.6216,0.4627,0.6948,-0.7028,25.49,22.25,19.76,0.1256,0.1574,80.2128,1108,3.8734,0.6961,12.2698,12.2975,0.0553,0.0022,0.4675,16.589,0.6444,24.4586,0.7798,31.5197,0.9179,40.4551,0.9684,48.2052,1.0,63.3524
MLP-Laplace-Optuna,ACQUA,t+2,train,9.9649,12.476,0.4723,0.7002,-0.6345,25.25,22.06,19.6,0.1242,0.1555,80.2128,1108,3.8579,0.6882,12.1729,12.2003,0.0519,0.0049,0.4639,16.4579,0.6444,24.2653,0.7852,31.2706,0.9233,40.1354,0.9702,47.8242,0.9991,62.8517
MLP-Laplace-Optuna,ACQUA,t+3,train,9.8023,12.3118,0.483,0.7076,-0.514,24.98,21.76,19.33,0.1222,0.1535,80.2128,1108,3.8463,0.6815,11.9901,12.0174,0.0407,0.0498,0.4747,16.2112,0.648,23.9016,0.7699,30.8018,0.9197,39.5337,0.9693,47.1073,0.9964,61.9095
MLP-Laplace-Optuna,ACQUA,t+4,train,9.7542,12.2136,0.4886,0.7123,-0.4746,24.95,21.72,19.28,0.1216,0.1523,80.2128,1108,3.8436,0.6838,12.0095,12.0369,0.0378,0.0817,0.4801,16.2375,0.6471,23.9403,0.778,30.8518,0.9233,39.5978,0.9738,47.1837,0.9964,62.0099
MLP-Laplace-Optuna,ACQUA,t+5,train,9.7791,12.2189,0.4865,0.7093,-0.5819,25.07,21.84,19.37,0.1219,0.1523,80.2128,1108,3.8466,0.6873,12.084,12.1114,0.0366,0.0996,0.4865,16.3381,0.6498,24.0886,0.7807,31.0428,0.9287,39.8431,0.9765,47.4759,0.9982,62.394
MLP-Laplace-Optuna,ACQUA,t+6,train,9.8821,12.2966,0.4785,0.7043,-0.6362,25.42,22.12,19.62,0.1232,0.1533,80.2128,1108,3.8621,0.708,12.4444,12.4722,0.0396,0.0603,0.4792,16.8248,0.6652,24.8062,0.796,31.9676,0.9305,41.0299,0.9801,48.8902,0.9973,64.2526
MLP-Laplace-Optuna,ACQUA,t+7,train,10.039,12.4163,0.4666,0.6957,-0.7878,25.77,22.52,19.98,0.1252,0.1548,80.2128,1108,3.8753,0.713,12.6045,12.6323,0.042,0.0389,0.4729,17.0407,0.6643,25.1245,0.7942,32.3778,0.9332,41.5565,0.9801,49.5176,0.9991,65.0772
MLP-Laplace-Optuna,ACQUA,ALL,train,9.899,12.3657,0.4769,0.7035,-0.6188,25.28,22.04,19.56,0.1234,0.1542,80.2128,7756,3.8579,0.694,12.225,12.2526,0.0407,0.0,0.475,16.5285,0.6519,24.3693,0.7834,31.4046,0.9252,40.3073,0.9741,48.0292,0.9981,63.121
MLP-Laplace-Optuna,ACQUA,t+1,val,10.0185,11.4988,0.2078,0.4613,-0.8757,23.74,21.74,20.06,0.1831,0.2102,54.7076,135,3.8518,0.6105,13.2421,13.2635,0.1371,0.0113,0.437,17.8921,0.6889,26.3799,0.8519,33.9956,0.9926,43.6329,1.0,51.9918,1.0,68.3289
MLP-Laplace-Optuna,ACQUA,t+2,val,9.8431,11.4433,0.2068,0.4564,-0.486,23.58,21.48,19.87,0.178,0.2069,55.2959,135,3.8437,0.6003,13.1259,13.147,0.1075,0.082,0.4741,17.735,0.6667,26.1483,0.8667,33.6971,1.0,43.2498,1.0,51.5353,1.0,67.7289
MLP-Laplace-Optuna,ACQUA,t+3,val,9.8001,11.4578,0.1983,0.4455,0.1709,23.86,21.52,20.02,0.1862,0.2177,52.6303,135,3.8378,0.5935,12.9214,12.9424,0.0848,0.2702,0.4519,17.459,0.6296,25.7413,0.8593,33.1726,1.0,42.5766,1.0,50.7332,1.0,66.6747
MLP-Laplace-Optuna,ACQUA,t+4,val,9.9055,11.5696,0.1731,0.4199,0.6063,24.37,21.84,20.48,0.1951,0.2278,50.782,135,3.8435,0.5963,12.9234,12.9445,0.0848,0.2702,0.437,17.4618,0.6519,25.7454,0.8593,33.178,1.0,42.5835,1.0,50.7413,1.0,66.6854
MLP-Laplace-Optuna,ACQUA,t+5,val,9.9736,11.675,0.1513,0.3974,0.7013,24.61,22.1,20.81,0.195,0.2283,51.1448,135,3.8561,0.6023,13.0137,13.0349,0.0807,0.3256,0.4296,17.5838,0.6667,25.9252,0.8519,33.4097,0.9926,42.8809,1.0,51.0957,1.0,67.1511
MLP-Laplace-Optuna,ACQUA,t+6,val,10.0816,11.8181,0.1222,0.3639,0.7734,24.94,22.38,21.12,0.1991,0.2334,50.6437,135,3.8728,0.6278,13.3813,13.4029,0.076,0.397,0.4296,18.0802,0.6741,26.6572,0.8815,34.353,0.9926,44.0916,1.0,52.5383,1.0,69.0471
MLP-Laplace-Optuna,ACQUA,t+7,val,10.3856,12.1813,0.0955,0.3286,0.5475,25.51,22.99,21.77,0.1982,0.2325,52.3881,135,3.9006,0.6288,13.4721,13.4938,0.0715,0.4738,0.4222,18.2028,0.6519,26.838,0.8667,34.5859,0.9852,44.3906,0.9852,52.8946,1.0,69.5153
MLP-Laplace-Optuna,ACQUA,ALL,val,10.0011,11.666,0.1689,0.4127,0.2054,24.37,22.01,20.58,0.1801,0.2101,55.5171,945,3.858,0.6085,13.1543,13.1755,0.0709,0.0001,0.4402,17.7735,0.6614,26.205,0.8624,33.7703,0.9947,43.3437,0.9979,51.6472,1.0,67.8759
MLP-Laplace-Optuna,ACQUA,t+1,test,10.8473,13.0129,0.0212,0.2587,-1.5441,25.17,23.73,22.34,0.2069,0.2482,52.4191,144,3.9791,0.7013,13.7655,13.7924,0.0985,0.1146,0.4306,18.6057,0.625,27.432,0.8264,35.3515,0.9653,45.3731,0.9722,54.0654,0.9931,71.054
MLP-Laplace-Optuna,ACQUA,t+2,test,10.6924,12.9415,-0.0016,0.2391,-1.2849,24.94,23.51,22.17,0.2038,0.2467,52.4615,144,3.976,0.6915,13.6731,13.6998,0.0893,0.1891,0.4236,18.4807,0.6597,27.2477,0.8472,35.1139,0.9514,45.0682,0.9653,53.7021,0.9931,70.5765
MLP-Laplace-Optuna,ACQUA,t+3,test,10.6158,13.0117,-0.043,0.2081,-1.0455,24.89,23.48,22.13,0.2024,0.248,52.4615,144,3.9846,0.6823,13.4258,13.4525,0.068,0.4977,0.4236,18.1471,0.6319,26.7559,0.8125,34.4801,0.9514,44.2547,0.9583,52.7328,0.9861,69.3026
MLP-Laplace-Optuna,ACQUA,t+4,test,10.6502,13.0721,-0.0693,0.1828,-0.8747,25.07,23.61,22.33,0.203,0.2492,52.4615,144,3.9896,0.6838,13.388,13.4148,0.0541,0.7721,0.4583,18.0963,0.6458,26.681,0.8333,34.3836,0.9444,44.1309,0.9653,52.5852,0.9861,69.1087
MLP-Laplace-Optuna,ACQUA,t+5,test,10.7495,13.2543,-0.1015,0.1526,-1.1646,25.24,23.83,22.56,0.2049,0.2526,52.4615,144,4.0087,0.6866,13.4291,13.456,0.068,0.4977,0.4444,18.1519,0.6319,26.7629,0.8194,34.4891,0.9306,44.2663,0.9583,52.7466,0.9861,69.3208
MLP-Laplace-Optuna,ACQUA,t+6,test,10.8842,13.5309,-0.1326,0.1141,-1.3036,25.39,24.0,22.83,0.2075,0.2579,52.4615,144,4.0284,0.7116,13.8102,13.8375,0.0591,0.6743,0.4653,18.6665,0.6458,27.5217,0.8264,35.467,0.9375,45.5214,0.9444,54.2421,0.9861,71.2862
MLP-Laplace-Optuna,ACQUA,t+7,test,10.9268,13.6861,-0.121,0.1083,-1.1119,26.69,24.45,23.11,0.179,0.2242,61.0471,144,4.0443,0.7144,13.9569,13.984,0.0663,0.5301,0.4792,18.8642,0.6389,27.8131,0.8264,35.8425,0.9167,46.0034,0.9444,54.8164,0.9861,72.041
