split,sensore,n_giorni,n_giorni_pioggia,pct_pioggia,n_giorni_irrigazione,pct_irrigazione,n_giorni_evento_acqua,pct_evento_acqua
train,TUTTI,1408,406,28.84,18,1.28,421,29.9
train,EM-500-1,67,26,38.81,0,0.0,26,38.81
train,EM-500-10,212,59,27.83,2,0.94,60,28.3
train,EM-500-11,200,52,26.0,2,1.0,53,26.5
train,EM-500-12,246,70,28.46,3,1.22,73,29.67
train,EM-500-14,63,26,41.27,0,0.0,26,41.27
train,EM-500-15,114,33,28.95,1,0.88,34,29.82
train,EM-500-16,114,33,28.95,1,0.88,34,29.82
train,EM-500-18,46,11,23.91,2,4.35,13,28.26
train,EM-500-19,46,19,41.3,0,0.0,19,41.3
train,EM-500-2,54,13,24.07,1,1.85,14,25.93
train,EM-500-20,30,7,23.33,1,3.33,8,26.67
train,EM-500-3,64,17,26.56,2,3.12,19,29.69
train,EM-500-4,56,13,23.21,2,3.57,14,25.0
train,EM-500-9,96,27,28.12,1,1.04,28,29.17
val,TUTTI,296,86,29.05,5,1.69,90,30.41
val,EM-500-1,14,2,14.29,1,7.14,3,21.43
val,EM-500-10,45,13,28.89,0,0.0,13,28.89
val,EM-500-11,43,19,44.19,0,0.0,19,44.19
val,EM-500-12,52,17,32.69,0,0.0,17,32.69
val,EM-500-14,13,2,15.38,1,7.69,3,23.08
val,EM-500-15,24,8,33.33,1,4.17,9,37.5
val,EM-500-16,24,8,33.33,1,4.17,9,37.5
val,EM-500-18,10,3,30.0,0,0.0,3,30.0
val,EM-500-19,9,0,0.0,0,0.0,0,0.0
val,EM-500-2,11,1,9.09,0,0.0,1,9.09
val,EM-500-20,6,1,16.67,1,16.67,1,16.67
val,EM-500-3,13,0,0.0,0,0.0,0,0.0
val,EM-500-4,12,4,33.33,0,0.0,4,33.33
val,EM-500-9,20,8,40.0,0,0.0,8,40.0
test,TUTTI,316,63,19.94,11,3.48,73,23.1
test,EM-500-1,15,2,13.33,1,6.67,3,20.0
test,EM-500-10,46,13,28.26,0,0.0,13,28.26
test,EM-500-11,44,11,25.0,2,4.55,12,27.27
test,EM-500-12,54,14,25.93,0,0.0,14,25.93
test,EM-500-14,15,2,13.33,1,6.67,3,20.0
test,EM-500-15,25,3,12.0,1,4.0,4,16.0
test,EM-500-16,25,3,12.0,1,4.0,4,16.0
test,EM-500-18,11,0,0.0,0,0.0,0,0.0
test,EM-500-19,11,2,18.18,0,0.0,2,18.18
test,EM-500-2,13,2,15.38,1,7.69,3,23.08
test,EM-500-20,8,2,25.0,0,0.0,2,25.0
test,EM-500-3,15,6,40.0,0,0.0,6,40.0
test,EM-500-4,12,1,8.33,0,0.0,1,8.33
test,EM-500-9,22,2,9.09,4,18.18,6,27.27
