model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Laplace-Residual-Optuna,ACQUA,t+1,train,1.4683,3.4097,0.9608,0.9802,-0.101,3.22,3.22,2.88,0.0183,0.0425,80.2128,1108,1.9969,0.1202,2.3729,2.3772,0.1244,0.0,0.6977,3.2068,0.8357,4.728,0.8935,6.093,0.9422,7.8202,0.9621,9.3184,0.981,12.2464
MLP-Laplace-Residual-Optuna,ACQUA,t+2,train,2.4022,4.5586,0.9295,0.9642,-0.1406,5.25,5.18,4.72,0.0299,0.0568,80.2128,1108,2.4568,0.1808,3.5875,3.5935,0.0817,0.0,0.6579,4.8476,0.7951,7.1473,0.87,9.2106,0.9287,11.8217,0.9567,14.0864,0.9856,18.5127
MLP-Laplace-Residual-Optuna,ACQUA,t+3,train,3.1841,5.3748,0.9015,0.9495,-0.0846,6.94,6.86,6.28,0.0397,0.067,80.2128,1108,2.7344,0.2249,4.5758,4.583,0.0699,0.0,0.6182,6.1824,0.7735,9.1152,0.8637,11.7468,0.9242,15.0768,0.9522,17.9651,0.9883,23.6102
MLP-Laplace-Residual-Optuna,ACQUA,t+4,train,3.8037,6.1627,0.8698,0.9327,-0.1756,8.36,8.22,7.52,0.0474,0.0768,80.2128,1108,2.9286,0.2606,5.305,5.3132,0.0593,0.0008,0.6074,7.1674,0.7708,10.5675,0.8466,13.6182,0.9088,17.4788,0.9531,20.8273,0.9829,27.3717
MLP-Laplace-Residual-Optuna,ACQUA,t+5,train,4.3247,6.7926,0.8413,0.9174,-0.2815,9.65,9.43,8.57,0.0539,0.0847,80.2128,1108,3.0656,0.2895,5.9414,5.9503,0.063,0.0003,0.5948,8.0269,0.759,11.8347,0.8457,15.2513,0.9097,19.5748,0.9486,23.3249,0.9819,30.6541
MLP-Laplace-Residual-Optuna,ACQUA,t+6,train,4.8371,7.3443,0.814,0.9023,-0.1655,11.02,10.63,9.6,0.0603,0.0916,80.2128,1108,3.1795,0.3143,6.515,6.5245,0.0535,0.0034,0.5894,8.8014,0.7581,12.9767,0.8412,16.7229,0.9106,21.4636,0.9431,25.5755,0.981,33.6119
MLP-Laplace-Residual-Optuna,ACQUA,t+7,train,5.2038,7.7339,0.793,0.8907,-0.1536,11.98,11.45,10.36,0.0649,0.0964,80.2128,1108,3.2629,0.335,6.963,6.973,0.0519,0.0049,0.5866,9.4064,0.7428,13.8686,0.8348,17.8724,0.9052,22.939,0.944,27.3335,0.9829,35.9223
MLP-Laplace-Residual-Optuna,ACQUA,ALL,train,3.6034,6.0847,0.8734,0.9346,-0.1575,8.06,7.85,7.12,0.0449,0.0759,80.2128,7756,2.8035,0.2465,5.0372,5.045,0.0635,0.0,0.6217,6.8055,0.7764,10.034,0.8565,12.9307,0.9185,16.5964,0.9514,19.7759,0.9834,25.9899
MLP-Laplace-Residual-Optuna,ACQUA,t+1,val,1.2894,2.5483,0.9648,0.9823,0.0159,2.73,2.73,2.53,0.0233,0.0461,55.2461,141,1.9739,0.1013,2.2383,2.2412,0.1453,0.0046,0.7234,3.0233,0.8511,4.4575,0.922,5.7444,0.9362,7.3728,0.9645,8.7853,0.9787,11.5458
MLP-Laplace-Residual-Optuna,ACQUA,t+2,val,2.1769,3.6398,0.9279,0.9635,-0.2311,4.6,4.6,4.3,0.0394,0.0658,55.2959,141,2.4735,0.1523,3.3564,3.3606,0.127,0.0192,0.6879,4.5334,0.844,6.6839,0.8936,8.6135,0.9291,11.0553,0.9574,13.1732,0.9716,17.3126
