model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+1,train,10.0566,12.6074,0.464,0.6943,-0.8996,25.28,22.21,19.74,0.1254,0.1572,80.2128,1108,3.8767,2.6211,12.236,12.5911,0.0496,0.0083,0.4774,16.9852,0.6634,25.0427,0.7942,32.2724,0.9278,41.4212,0.9729,49.3564,1.0,64.8653
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+2,train,9.96,12.469,0.4729,0.6993,-0.8458,25.06,22.04,19.59,0.1242,0.1554,80.2128,1108,3.8628,2.703,12.1396,12.5178,0.0521,0.0047,0.4711,16.8863,0.667,24.8969,0.7987,32.0845,0.9341,41.1801,0.9747,49.0691,1.0,64.4877
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+3,train,9.7992,12.3053,0.4835,0.7065,-0.7444,24.78,21.75,19.32,0.1222,0.1534,80.2128,1108,3.852,2.7789,11.948,12.3494,0.0398,0.058,0.4883,16.659,0.6652,24.5619,0.7906,31.6527,0.9341,40.6258,0.9738,48.4086,0.9991,63.6197
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+4,train,9.7479,12.2017,0.4896,0.7114,-0.7002,24.74,21.7,19.27,0.1215,0.1521,80.2128,1108,3.8491,2.7643,11.9649,12.3619,0.039,0.0674,0.4919,16.6759,0.6625,24.5867,0.796,31.6847,0.935,40.6669,0.9783,48.4576,0.9991,63.6841
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+5,train,9.7558,12.2084,0.4873,0.7086,-0.7909,24.84,21.78,19.33,0.1216,0.1522,80.2128,1108,3.8525,2.7297,12.0325,12.4202,0.0412,0.0455,0.4964,16.7546,0.6652,24.7028,0.7942,31.8343,0.9368,40.8589,0.981,48.6864,0.9991,63.9848
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+6,train,9.8557,12.2864,0.4793,0.7035,-0.8358,25.18,22.06,19.57,0.1229,0.1532,80.2128,1108,3.8678,2.6538,12.4028,12.759,0.052,0.0048,0.4847,17.2117,0.6769,25.3766,0.8069,32.7027,0.9404,41.9735,0.9856,50.0145,1.0,65.7302
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+7,train,10.0052,12.4105,0.467,0.6948,-0.9826,25.52,22.44,19.91,0.1247,0.1547,80.2128,1108,3.8799,2.6149,12.5622,12.9051,0.0508,0.0063,0.4783,17.4087,0.6769,25.6671,0.8042,33.0771,0.9395,42.454,0.9856,50.587,0.9991,66.4826
MLP-Gaussian-MCDropout-Optuna,ACQUA,ALL,train,9.8829,12.3563,0.4777,0.7026,-0.8285,25.06,22.0,19.53,0.1232,0.154,80.2128,7756,3.863,2.6951,12.1837,12.5578,0.0392,0.0,0.484,16.9402,0.6681,24.9764,0.7978,32.1869,0.9354,41.3115,0.9789,49.2257,0.9995,64.6935
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+1,val,10.0639,11.5303,0.2034,0.4567,-0.9149,23.78,21.83,20.16,0.184,0.2108,54.7076,135,3.8597,2.3745,13.2021,13.4682,0.1347,0.0135,0.4519,18.1683,0.6963,26.7871,0.9037,34.5204,1.0,44.3065,1.0,52.7944,1.0,69.3836
MLP-Gaussian-MCDropout-Optuna,ACQUA,t+2,val,9.9013,11.4906,0.2003,0.4495,-0.5372,23.65,21.6,19.99,0.1791,0.2078,55.2959,135,3.8524,2.463,13.0903,13.3778,0.1012,0.1177,0.4741,18.0464,0.6741,26.6073,0.8815,34.2887,1.0,44.0091,1.0,52.44,1.0,68.9179
