model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+1,train,1.4252,3.2886,0.9635,0.9816,0.0147,3.15,3.11,2.8,0.0178,0.041,80.2128,1108,1.8654,0.4545,2.3593,2.4163,0.1256,0.0,0.7058,3.2595,0.8439,4.8057,0.9125,6.1931,0.9522,7.9488,0.963,9.4716,0.9901,12.4478
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+2,train,2.3733,4.4959,0.9315,0.9651,0.0709,5.23,5.11,4.67,0.0296,0.056,80.2128,1108,2.3742,0.7467,3.6336,3.7262,0.1114,0.0,0.6625,5.0266,0.8087,7.4111,0.8755,9.5506,0.9477,12.2581,0.972,14.6064,0.9883,19.1961
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+3,train,3.1108,5.263,0.9055,0.9516,0.1752,6.84,6.68,6.13,0.0388,0.0656,80.2128,1108,2.656,0.9305,4.5677,4.6814,0.0927,0.0,0.63,6.3152,0.787,9.311,0.8818,11.999,0.9486,15.4006,0.9711,18.3509,0.9892,24.1172
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+4,train,3.6391,5.9102,0.8802,0.9383,0.126,8.05,7.85,7.19,0.0454,0.0737,80.2128,1108,2.8314,1.1057,5.2384,5.385,0.0806,0.0,0.6074,7.2643,0.7807,10.7103,0.8818,13.8024,0.9413,17.7151,0.9711,21.1089,0.9874,27.7418
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+5,train,4.1027,6.4997,0.8547,0.9245,0.0654,9.21,8.92,8.13,0.0511,0.081,80.2128,1108,2.9663,1.1994,5.8355,5.9926,0.0737,0.0,0.6155,8.0839,0.7816,11.9188,0.8727,15.3597,0.9359,19.714,0.9648,23.4907,0.9901,30.872
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+6,train,4.5546,6.9732,0.8323,0.9123,0.1071,10.45,9.99,9.04,0.0568,0.0869,80.2128,1108,3.0739,1.341,6.2965,6.4754,0.0646,0.0002,0.6128,8.7351,0.7681,12.879,0.8718,16.5971,0.9305,21.3021,0.9621,25.383,0.9883,33.3589
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+7,train,4.9839,7.4169,0.8097,0.8999,0.1877,11.58,10.97,9.92,0.0621,0.0925,80.2128,1108,3.1846,1.496,6.8078,7.0097,0.0681,0.0001,0.602,9.4559,0.7545,13.9416,0.861,17.9665,0.9287,23.0597,0.9612,27.4774,0.9883,36.1114
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,ALL,train,3.4557,5.8498,0.8829,0.9397,0.1067,7.79,7.52,6.83,0.0431,0.0729,80.2128,7756,2.7074,1.0391,4.9627,5.0981,0.0835,0.0,0.6337,6.8772,0.7892,10.1397,0.8796,13.0669,0.9407,16.7712,0.9665,19.9841,0.9888,26.2636
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+1,val,1.1237,2.3733,0.9663,0.983,-0.0183,2.39,2.42,2.25,0.0205,0.0434,54.7076,135,1.9382,0.3809,2.2554,2.2953,0.1744,0.0005,0.7852,3.0963,0.8444,4.5651,0.9037,5.883,0.9407,7.5508,0.963,8.9973,0.9778,11.8245
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+2,val,2.1363,3.7285,0.9158,0.9572,-0.2417,4.54,4.54,4.31,0.0386,0.0674,55.2959,135,2.4687,0.6283,3.517,3.5828,0.1439,0.0067,0.7111,4.8332,0.837,7.1259,0.9037,9.1832,0.963,11.7865,0.963,14.0444,0.9778,18.4575
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+3,val,2.6145,4.0082,0.9019,0.9499,-0.1407,5.72,5.57,5.34,0.0497,0.0762,52.6303,135,2.6346,0.7773,4.5432,4.6208,0.1092,0.0741,0.6444,6.2334,0.8074,9.1904,0.9259,11.8436,0.9704,15.2011,0.9852,18.1132,0.9926,23.8048
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+4,val,3.0059,4.3767,0.8817,0.9394,-0.0231,6.6,6.4,6.21,0.0592,0.0862,50.782,135,2.8008,0.9328,5.3448,5.4445,0.1203,0.0368,0.6222,7.3445,0.8222,10.8287,0.9407,13.9549,0.9778,17.9109,0.9852,21.3421,0.9926,28.0483
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+5,val,3.4956,4.8123,0.8558,0.9262,0.1359,7.82,7.55,7.3,0.0683,0.0941,51.1448,135,2.9592,1.033,6.1011,6.2084,0.1048,0.096,0.6222,8.375,0.8,12.3479,0.9333,15.9127,0.9778,20.4237,0.9852,24.3363,0.9926,31.9834
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+6,val,4.0072,5.2638,0.8259,0.9111,0.2032,9.12,8.77,8.39,0.0791,0.1039,50.6437,135,3.0681,1.2259,6.6347,6.7665,0.0991,0.1319,0.6222,9.1278,0.8074,13.4579,0.8963,17.3432,0.9704,22.2597,0.9926,26.5241,0.9926,34.8585
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+7,val,4.6332,6.0772,0.7749,0.8838,0.165,10.48,10.08,9.71,0.0884,0.116,52.3881,135,3.2731,1.4185,7.2557,7.4144,0.1061,0.0888,0.5852,10.0019,0.8074,14.7467,0.9111,19.0039,0.963,24.3913,0.9704,29.064,0.9778,38.1965
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,ALL,val,3.0023,4.5127,0.8756,0.9363,0.0115,6.67,6.47,6.18,0.0541,0.0813,55.5171,945,2.7347,0.9138,5.0931,5.1904,0.1019,0.0,0.6561,7.0017,0.818,10.3232,0.9164,13.3035,0.9661,17.0748,0.9778,20.3459,0.9862,26.7391
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+1,test,1.9898,3.8544,0.9141,0.9562,0.1295,4.07,4.1,4.1,0.038,0.0735,52.4191,144,4.3641,0.5412,2.9038,2.9786,0.1477,0.0033,0.6597,4.018,0.7708,5.9241,0.8403,7.6344,0.8681,9.7987,0.8889,11.6758,0.9167,15.3446
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+2,test,3.3054,5.2628,0.8344,0.9142,0.2459,6.89,6.82,6.85,0.063,0.1003,52.4615,144,4.0174,0.8837,4.4315,4.5511,0.1061,0.0727,0.6528,6.1394,0.7639,9.0518,0.8125,11.665,0.8472,14.9719,0.8681,17.8401,0.9167,23.4459
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+3,test,4.085,6.0273,0.7762,0.8825,0.3752,8.82,8.58,8.52,0.0779,0.1149,52.4615,144,4.0494,1.0696,5.5106,5.6499,0.1198,0.0293,0.6736,7.6215,0.7708,11.2371,0.8125,14.4812,0.8472,18.5864,0.8611,22.147,0.8958,29.1061
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+4,test,4.4337,6.4397,0.7405,0.8621,0.3304,9.71,9.41,9.3,0.0845,0.1228,52.4615,144,3.8367,1.2427,6.261,6.4386,0.1126,0.0479,0.6667,8.6855,0.7431,12.8057,0.7778,16.5027,0.8403,21.181,0.8819,25.2387,0.9236,33.1692
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+5,test,4.5579,6.3204,0.7495,0.8661,0.1256,10.08,9.78,9.57,0.0869,0.1205,52.4615,144,3.752,1.33,6.9289,7.1133,0.112,0.0497,0.6458,9.5957,0.7569,14.1477,0.8056,18.2321,0.8472,23.4006,0.8889,27.8836,0.9306,36.6452
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+6,test,5.0658,6.8467,0.71,0.8428,0.1547,11.23,10.88,10.62,0.0966,0.1305,52.4615,144,3.7252,1.5037,7.5117,7.7218,0.1226,0.0241,0.6389,10.4165,0.7361,15.358,0.7847,19.7918,0.8472,25.4024,0.8819,30.2689,0.9514,39.7801
MLP-Gaussian-MCDropout-Residual-Optuna,ACQUA,t+7,test,6.0253,7.9007,0.6264,0.7935,0.5886,14.2,13.32,12.74,0.0987,0.1294,61.0471,144,3.8212,1.7167,7.9779,8.2212,0.0745,0.3821,0.5764,11.0902,0.7083,16.3512,0.7708,21.0717,0.8542,27.0453,0.9097,32.2265,0.9375,42.3527
