model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+1,train,9.6611,12.1889,0.4989,0.7128,0.0867,24.93,21.42,18.96,0.1204,0.152,80.2128,1108,3.8335,3.0351,12.1158,12.6134,0.0312,0.2274,0.5027,17.0152,0.676,25.087,0.815,32.3295,0.9449,41.4945,0.9856,49.4437,1.0,64.98
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+2,train,9.5717,12.0784,0.5054,0.7172,0.2402,24.82,21.29,18.83,0.1193,0.1506,80.2128,1108,3.8246,3.0456,12.0567,12.5614,0.0299,0.2693,0.5054,16.9451,0.6805,24.9836,0.8231,32.1962,0.9449,41.3234,0.9829,49.2398,1.0,64.7121
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+3,train,9.4511,11.9609,0.512,0.7229,0.302,24.64,21.11,18.63,0.1178,0.1491,80.2128,1108,3.8172,3.0337,11.9494,12.4552,0.031,0.2337,0.5036,16.8018,0.6868,24.7723,0.8177,31.9239,0.9413,40.9738,0.9874,48.8233,0.9991,64.1648
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+4,train,9.3537,11.8488,0.5187,0.7273,0.0825,24.32,20.96,18.49,0.1166,0.1477,80.2128,1108,3.8108,3.0649,11.8692,12.3852,0.029,0.3026,0.5162,16.7074,0.6913,24.6331,0.824,31.7446,0.9413,40.7437,0.9874,48.5491,0.9991,63.8044
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+5,train,9.3963,11.8956,0.5133,0.7223,0.0207,24.46,21.1,18.62,0.1171,0.1483,80.2128,1108,3.8206,3.0218,12.0154,12.5141,0.0306,0.2468,0.5226,16.8812,0.6904,24.8894,0.824,32.0748,0.9413,41.1676,0.9874,49.0542,1.0,64.4682
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+6,train,9.5114,12.016,0.502,0.7149,0.2187,24.97,21.42,18.89,0.1186,0.1498,80.2128,1108,3.837,2.9,12.2166,12.6729,0.0316,0.2141,0.5262,17.0954,0.6823,25.2053,0.8312,32.4819,0.9395,41.69,0.9865,49.6767,1.0,65.2863
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+7,train,9.6258,12.1124,0.4923,0.7078,0.2286,25.33,21.69,19.16,0.12,0.151,80.2128,1108,3.8508,2.8635,12.4093,12.8511,0.0318,0.2086,0.5162,17.3359,0.6895,25.5598,0.8312,32.9387,0.944,42.2764,0.9883,50.3754,0.9991,66.2045
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,ALL,train,9.5102,12.015,0.5062,0.7179,0.1685,24.78,21.28,18.79,0.1186,0.1498,80.2128,7756,3.8278,2.9949,12.0903,12.579,0.0291,0.0,0.5133,16.9689,0.6853,25.0186,0.8237,32.2414,0.9425,41.3813,0.9865,49.3089,0.9996,64.8029
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+1,val,9.8453,11.5239,0.2043,0.4592,0.993,24.3,21.29,19.72,0.18,0.2106,54.7076,135,3.8403,2.3448,12.9271,13.2074,0.0903,0.2085,0.5037,17.8165,0.6963,26.2684,0.8667,33.852,1.0,43.4485,1.0,51.7721,1.0,68.0401
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+2,val,9.841,11.5636,0.1901,0.4496,1.4046,24.48,21.34,19.87,0.178,0.2091,55.2959,135,3.8501,2.341,12.8905,13.1714,0.0839,0.2824,0.4889,17.768,0.6963,26.1969,0.8593,33.7598,0.9852,43.3302,1.0,51.6311,1.0,67.8548
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+3,val,9.966,11.714,0.162,0.4286,1.8799,25.01,21.71,20.36,0.1894,0.2226,52.6303,135,3.858,2.3545,12.8035,13.0912,0.0907,0.2042,0.4741,17.6598,0.6593,26.0373,0.8444,33.5541,0.9926,43.0662,1.0,51.3165,1.0,67.4414
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+4,val,10.0722,11.8225,0.1365,0.4064,2.1082,25.38,22.05,20.82,0.1983,0.2328,50.782,135,3.8658,2.3916,12.7387,13.0328,0.1134,0.0574,0.4593,17.581,0.6593,25.9212,0.8296,33.4045,0.9926,42.8742,1.0,51.0878,1.0,67.1407
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+5,val,10.1837,11.9338,0.1133,0.385,2.2626,25.71,22.4,21.25,0.1991,0.2333,51.1448,135,3.8818,2.3321,12.8953,13.1706,0.1168,0.0463,0.4519,17.7669,0.6667,26.1952,0.837,33.7576,0.9852,43.3275,0.9926,51.6278,1.0,67.8505
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+6,val,10.2704,11.9776,0.0983,0.3731,2.4548,26.06,22.64,21.51,0.2028,0.2365,50.6437,135,3.8872,2.1924,13.0438,13.2915,0.1231,0.0306,0.4667,17.93,0.6593,26.4357,0.8296,34.0675,0.9926,43.7252,1.0,52.1018,1.0,68.4734
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+7,val,10.4434,12.1495,0.1003,0.3687,2.3453,26.48,23.01,21.89,0.1993,0.2319,52.3881,135,3.9002,2.167,13.2347,13.4753,0.1115,0.0643,0.4741,18.178,0.6593,26.8013,0.8222,34.5387,0.9926,44.33,1.0,52.8224,1.0,69.4204
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,ALL,val,10.0889,11.814,0.1476,0.413,1.9212,25.35,22.06,20.76,0.1817,0.2128,55.5171,945,3.8691,2.3034,12.9334,13.2058,0.0907,0.0,0.4741,17.8143,0.6709,26.2652,0.8413,33.8477,0.9915,43.4431,0.9989,51.7657,1.0,68.0316
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+1,test,11.0672,14.1905,-0.164,0.2186,-0.7616,25.54,24.7,22.79,0.2111,0.2707,52.4191,144,4.0346,3.1775,13.5743,14.1104,0.0626,0.6021,0.5208,19.0346,0.6944,28.0644,0.8542,36.1664,0.9375,46.4191,0.9514,55.3117,0.9792,72.6919
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+2,test,10.9166,14.1859,-0.2034,0.2016,-0.4311,25.41,24.48,22.63,0.2081,0.2704,52.4615,144,4.0278,3.165,13.4753,14.0149,0.0683,0.4907,0.5278,18.9058,0.6944,27.8745,0.8681,35.9216,0.9306,46.1049,0.9514,54.9374,0.9722,72.2
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+3,test,10.4923,13.6682,-0.1509,0.2413,-0.1782,24.7,23.8,21.87,0.2,0.2605,52.4615,144,3.97,3.1234,13.2897,13.829,0.0837,0.2508,0.5556,18.6551,0.7014,27.5048,0.8958,35.4453,0.9444,45.4935,0.9514,54.2089,0.9792,71.2425
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+4,test,10.657,13.9192,-0.2123,0.198,-0.2259,25.01,24.14,22.34,0.2031,0.2653,52.4615,144,4.0003,3.1336,13.1942,13.7322,0.0861,0.2227,0.5556,18.5245,0.7292,27.3122,0.8611,35.197,0.9306,45.1749,0.9514,53.8292,0.9722,70.7436
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+5,test,10.8387,14.0278,-0.2339,0.1658,-0.382,25.48,24.53,22.75,0.2066,0.2674,52.4615,144,4.0257,2.9995,13.2907,13.7828,0.0714,0.4356,0.5347,18.5927,0.7153,27.4129,0.8542,35.3268,0.9236,45.3414,0.9583,54.0276,0.9792,71.0044
MLP-Gaussian-MCDropout-Warmup-Optuna,ACQUA,t+6,test,10.9812,14.1591,-0.2402,0.1321,-0.32,25.85,24.59,23.03,0.2093,0.2699,52.4615,144,4.0514,2.7994,13.4676,13.8966,0.072,0.4249,0.5417,18.7463,0.7292,27.6393,0.8403,35.6185,0.9167,45.7159,0.9444,54.4739,0.9861,71.5908
