model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+1,train,1.408,3.3348,0.9625,0.9811,-0.0767,3.09,3.09,2.76,0.0176,0.0416,80.2128,1108,1.8103,0.32,2.1671,2.1994,0.1151,0.0,0.6751,2.9669,0.8213,4.3744,0.8935,5.6373,0.9359,7.2353,0.9666,8.6214,0.9847,11.3305
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+2,train,2.3016,4.4544,0.9327,0.9658,-0.0117,5.06,4.98,4.53,0.0287,0.0555,80.2128,1108,2.304,0.556,3.3144,3.373,0.0996,0.0,0.6273,4.5502,0.7861,6.7087,0.8773,8.6454,0.9368,11.0963,0.9612,13.2221,0.9856,17.3767
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+3,train,2.9937,5.1112,0.9109,0.9544,0.0636,6.57,6.46,5.9,0.0373,0.0637,80.2128,1108,2.5814,0.7774,4.1291,4.2169,0.0895,0.0,0.5921,5.6886,0.7617,8.3871,0.8628,10.8084,0.9323,13.8725,0.9639,16.5301,0.9883,21.7242
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+4,train,3.4996,5.6321,0.8913,0.9441,0.0367,7.76,7.57,6.92,0.0436,0.0702,80.2128,1108,2.746,0.9518,4.7358,4.8504,0.0624,0.0003,0.5794,6.5431,0.7536,9.6471,0.8529,12.4321,0.9305,15.9565,0.9711,19.0133,0.9928,24.9877
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+5,train,3.8903,6.0619,0.8736,0.9347,0.1728,8.84,8.5,7.71,0.0485,0.0756,80.2128,1108,2.8749,1.1244,5.3209,5.4614,0.0666,0.0001,0.5812,7.3674,0.7644,10.8623,0.8556,13.9982,0.9332,17.9665,0.972,21.4084,0.9928,28.1354
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+6,train,4.2972,6.5138,0.8537,0.9241,0.2757,9.95,9.44,8.53,0.0536,0.0812,80.2128,1108,2.9883,1.2521,5.8901,6.048,0.0684,0.0001,0.574,8.1586,0.7473,12.029,0.8637,15.5016,0.9413,19.8961,0.9702,23.7077,0.9901,31.1572
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+7,train,4.7439,7.027,0.8291,0.9108,0.3071,11.14,10.5,9.44,0.0591,0.0876,80.2128,1108,3.1014,1.3461,6.41,6.5759,0.067,0.0001,0.5722,8.8708,0.7347,13.079,0.8556,16.8548,0.9368,21.6329,0.9675,25.7772,0.9901,33.877
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,ALL,train,3.3049,5.5724,0.8938,0.9454,0.1096,7.49,7.22,6.53,0.0412,0.0695,80.2128,7756,2.6295,0.904,4.5668,4.675,0.0772,0.0,0.6002,6.3065,0.767,9.2982,0.8659,11.9826,0.9353,15.3794,0.9675,18.3257,0.9892,24.0841
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+1,val,1.1562,2.4942,0.9627,0.9812,-0.0116,2.42,2.45,2.32,0.0211,0.0456,54.7076,135,1.8931,0.2499,2.1636,2.1877,0.1562,0.0024,0.7407,2.9512,0.8519,4.3512,0.9259,5.6074,0.9481,7.197,0.9704,8.5758,0.9778,11.2705
MLP-Gaussian-MCDropout-Residual-Warmup-Optuna,ACQUA,t+2,val,2.1159,3.7327,0.9156,0.957,-0.17,4.44,4.43,4.27,0.0383,0.0675,55.2959,135,2.4299,0.4389,3.192,3.2351,0.102,0.1121,0.6148,4.3641,0.8222,6.4343,0.8667,8.2919,0.9407,10.6425,0.9704,12.6814,0.9778,16.6661
