model,feature_set,n_features,val_MAE,params
Ridge,ACQUA,50,10.5193,"{""alpha"": 88.79907505283894, ""event_weight"": 1.0523697586301968}"
RF,ACQUA,50,10.3563,"{""event_weight"": 9.053446153848839, ""max_depth"": 8, ""min_samples_leaf"": 5, ""n_estimators"": 155}"
MLP,ACQUA,50,10.219,"{""batch_size"": 16, ""epochs"": 300, ""event_weight"": 5.617150620576519, ""hidden"": [32, 32], ""lr"": 0.00953255574027861, ""patience"": 50}"
LSTM,ACQUA,50,9.4305,"{""batch_size"": 16, ""epochs"": 300, ""hidden"": 37, ""lookback"": 14, ""lr"": 0.0006118411902896105, ""patience"": 50}"
Ridge,TERRA,9,3.3524,"{""alpha"": 9.012750093305478, ""event_weight"": 1.0315332197005733}"
RF,TERRA,9,3.2756,"{""event_weight"": 4.136694648034331, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 102}"
MLP,TERRA,9,2.5433,"{""batch_size"": 32, ""epochs"": 300, ""event_weight"": 2.0428215357261674, ""hidden"": [32, 32], ""lr"": 0.002592475660475161, ""patience"": 50}"
LSTM,TERRA,9,3.333,"{""batch_size"": 64, ""epochs"": 300, ""hidden"": 38, ""lookback"": 14, ""lr"": 0.0008616512464445062, ""patience"": 50}"
Ridge,METEO,135,10.5109,"{""alpha"": 8.471801418819979, ""event_weight"": 6.387926357773329}"
RF,METEO,135,9.592,"{""event_weight"": 7.27440308506085, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 102}"
MLP,METEO,135,9.2211,"{""batch_size"": 16, ""epochs"": 300, ""event_weight"": 4.961372443656412, ""hidden"": [32, 32], ""lr"": 0.00853618986286683, ""patience"": 50}"
LSTM,METEO,135,9.2407,"{""batch_size"": 128, ""epochs"": 300, ""hidden"": 18, ""lookback"": 14, ""lr"": 0.0009114125527116837, ""patience"": 50}"
Ridge,TERRA_ACQUA,59,3.1687,"{""alpha"": 87.99837387021734, ""event_weight"": 4.532076028923692}"
RF,TERRA_ACQUA,59,3.2572,"{""event_weight"": 1.1206251516322405, ""max_depth"": null, ""min_samples_leaf"": 4, ""n_estimators"": 111}"
MLP,TERRA_ACQUA,59,2.6951,"{""batch_size"": 16, ""epochs"": 300, ""event_weight"": 4.180565244942645, ""hidden"": [32, 32], ""lr"": 0.0008681126859190393, ""patience"": 50}"
LSTM,TERRA_ACQUA,59,3.4877,"{""batch_size"": 16, ""epochs"": 300, ""hidden"": 30, ""lookback"": 14, ""lr"": 0.0005350227390366597, ""patience"": 50}"
Ridge,TERRA_METEO,144,3.9358,"{""alpha"": 96.25595791895469, ""event_weight"": 1.6605332238248696}"
RF,TERRA_METEO,144,3.2672,"{""event_weight"": 9.964152904250922, ""max_depth"": null, ""min_samples_leaf"": 3, ""n_estimators"": 190}"
MLP,TERRA_METEO,144,3.1824,"{""batch_size"": 32, ""epochs"": 300, ""event_weight"": 1.97102284293974, ""hidden"": [128, 64, 32], ""lr"": 0.003482846706526885, ""patience"": 50}"
LSTM,TERRA_METEO,144,4.2715,"{""batch_size"": 16, ""epochs"": 300, ""hidden"": 30, ""lookback"": 14, ""lr"": 0.0005350227390366597, ""patience"": 50}"
Ridge,ACQUA_METEO,185,10.5678,"{""alpha"": 6.516991792177502, ""event_weight"": 3.8718649360947177}"
RF,ACQUA_METEO,185,9.6612,"{""event_weight"": 3.927972976869379, ""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 160}"
MLP,ACQUA_METEO,185,9.0788,"{""batch_size"": 32, ""epochs"": 300, ""event_weight"": 6.4451433769994555, ""hidden"": [128, 64, 32], ""lr"": 0.006009985020093229, ""patience"": 50}"
LSTM,ACQUA_METEO,185,8.5947,"{""batch_size"": 64, ""epochs"": 300, ""hidden"": 38, ""lookback"": 14, ""lr"": 0.0008616512464445062, ""patience"": 50}"
Ridge,TOTALE,215,3.8271,"{""alpha"": 96.25595791895469, ""event_weight"": 1.6605332238248696}"
RF,TOTALE,215,3.3511,"{""event_weight"": 7.224430486864368, ""max_depth"": null, ""min_samples_leaf"": 4, ""n_estimators"": 198}"
MLP,TOTALE,215,3.1689,"{""batch_size"": 64, ""epochs"": 300, ""event_weight"": 8.846387109066935, ""hidden"": [128, 64, 32], ""lr"": 0.0006118367736859706, ""patience"": 50}"
LSTM,TOTALE,215,3.5933,"{""batch_size"": 16, ""epochs"": 300, ""hidden"": 42, ""lookback"": 14, ""lr"": 0.00056835114633522, ""patience"": 50}"
