model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
Ridge,ACQUA,t+1,train,1.0523697586301968,1108,13.0781,15.7382,0.1647,331,12.9508,777,13.1323
Ridge,ACQUA,t+2,train,1.0523697586301968,1108,13.1178,15.7722,0.1566,331,12.8187,777,13.2453
Ridge,ACQUA,t+3,train,1.0523697586301968,1108,13.1472,15.7511,0.1538,331,12.485,777,13.4294
Ridge,ACQUA,t+4,train,1.0523697586301968,1108,13.0968,15.6839,0.1567,331,12.347,777,13.4162
Ridge,ACQUA,t+5,train,1.0523697586301968,1108,13.0932,15.6392,0.1587,331,12.3187,777,13.4232
Ridge,ACQUA,t+6,train,1.0523697586301968,1108,13.0947,15.6367,0.1567,331,12.2589,777,13.4507
Ridge,ACQUA,t+7,train,1.0523697586301968,1108,13.1436,15.68,0.1493,331,12.3334,777,13.4887
Ridge,ACQUA,ALL,train,1.0523697586301968,7756,13.1102,15.7003,0.1568,2317,12.5018,5439,13.3694
Ridge,ACQUA,t+1,val,1.0523697586301968,135,10.2751,11.8774,0.1547,37,8.2905,98,11.0244
Ridge,ACQUA,t+2,val,1.0523697586301968,135,10.3934,12.108,0.112,37,8.359,98,11.1616
Ridge,ACQUA,t+3,val,1.0523697586301968,135,10.4724,12.2119,0.0893,37,8.3428,98,11.2764
Ridge,ACQUA,t+4,val,1.0523697586301968,135,10.4746,12.2268,0.0764,37,8.7072,98,11.1419
Ridge,ACQUA,t+5,val,1.0523697586301968,135,10.508,12.3261,0.054,37,9.0153,98,11.0715
Ridge,ACQUA,t+6,val,1.0523697586301968,135,10.6441,12.4299,0.0289,37,9.0101,98,11.2611
Ridge,ACQUA,t+7,val,1.0523697586301968,135,10.8673,12.682,0.0197,37,9.0253,98,11.5627
Ridge,ACQUA,ALL,val,1.0523697586301968,945,10.5193,12.2682,0.0808,259,8.6786,686,11.2142
Ridge,ACQUA,t+1,test,1.0523697586301968,144,11.247,13.546,-0.0606,35,12.328,109,10.8999
Ridge,ACQUA,t+2,test,1.0523697586301968,144,11.0338,13.3712,-0.0692,35,11.644,109,10.8379
Ridge,ACQUA,t+3,test,1.0523697586301968,144,11.0346,13.1289,-0.0618,35,11.5842,109,10.8581
Ridge,ACQUA,t+4,test,1.0523697586301968,144,11.2345,13.3684,-0.1183,35,11.7792,109,11.0596
Ridge,ACQUA,t+5,test,1.0523697586301968,144,10.8832,12.8007,-0.0274,35,11.3119,109,10.7456
Ridge,ACQUA,t+6,test,1.0523697586301968,144,11.2429,13.5168,-0.1302,35,11.1162,109,11.2836
Ridge,ACQUA,t+7,test,1.0523697586301968,144,11.2218,13.5817,-0.1039,35,11.8235,109,11.0286
Ridge,ACQUA,ALL,test,1.0523697586301968,1008,11.1283,13.333,-0.0805,245,11.6553,763,10.959
RF,ACQUA,t+1,train,9.053446153848839,1108,10.1532,12.5689,0.4672,331,8.5657,777,10.8295
RF,ACQUA,t+2,train,9.053446153848839,1108,10.1199,12.5251,0.4681,331,8.464,777,10.8253
RF,ACQUA,t+3,train,9.053446153848839,1108,10.0996,12.5174,0.4656,331,8.2413,777,10.8912
RF,ACQUA,t+4,train,9.053446153848839,1108,10.047,12.4839,0.4657,331,8.0478,777,10.8987
RF,ACQUA,t+5,train,9.053446153848839,1108,10.021,12.4453,0.4673,331,8.0916,777,10.8429
