model,horizon,split,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
Penman-Monteith,t+1,train,1126,1.6829,3.8787,0.9497,335,1.9941,791,1.5511
Penman-Monteith,t+2,train,1123,2.936,5.595,0.8948,333,3.2711,790,2.7947
Penman-Monteith,t+3,train,1120,4.0094,6.7599,0.8453,331,4.246,789,3.9102
Penman-Monteith,t+4,train,1117,4.9271,7.7142,0.7974,331,4.9696,786,4.9092
Penman-Monteith,t+5,train,1114,5.6833,8.4979,0.7528,331,5.5091,783,5.7569
Penman-Monteith,t+6,train,1111,6.3401,9.1771,0.7104,331,6.2078,780,6.3963
Penman-Monteith,t+7,train,1108,6.9254,9.7671,0.6699,331,6.8634,777,6.9518
Penman-Monteith,ALL,train,7819,4.6342,7.5817,0.8045,2323,4.7171,5496,4.5991
Penman-Monteith,t+1,val,153,1.3728,3.215,0.9329,43,1.8422,110,1.1893
Penman-Monteith,t+2,val,150,2.3829,4.459,0.8708,40,3.421,110,2.0054
Penman-Monteith,t+3,val,147,3.0149,4.7147,0.856,40,3.1943,107,2.9479
Penman-Monteith,t+4,val,144,3.5179,4.9783,0.8396,37,2.8487,107,3.7493
Penman-Monteith,t+5,val,141,4.0145,5.4396,0.81,37,3.2171,104,4.2982
Penman-Monteith,t+6,val,138,4.3843,5.7879,0.7854,37,3.7814,101,4.6052
Penman-Monteith,t+7,val,135,4.9162,6.647,0.7307,37,4.196,98,5.1881
Penman-Monteith,ALL,val,1008,3.3254,5.0944,0.8341,271,3.1861,737,3.3767
Penman-Monteith,t+1,test,144,1.736,3.9681,0.909,35,3.666,109,1.1162
Penman-Monteith,t+2,test,144,2.8172,5.1703,0.8401,35,3.9624,109,2.4495
Penman-Monteith,t+3,test,144,3.625,5.9795,0.7797,35,4.4464,109,3.3612
Penman-Monteith,t+4,test,144,4.1606,6.4818,0.7371,35,4.737,109,3.9756
Penman-Monteith,t+5,test,144,4.7407,7.0396,0.6893,35,6.0659,109,4.3152
Penman-Monteith,t+6,test,144,5.4197,7.7871,0.6249,35,5.7786,109,5.3045
Penman-Monteith,t+7,test,144,6.2816,8.499,0.5677,35,6.1257,109,6.3317
Penman-Monteith,ALL,test,1008,4.1115,6.5756,0.7372,245,4.9689,763,3.8363
