model,feature_set,n_features,val_MAE_res,params
Ridge,ACQUA,50,3.3062,"{""alpha"": 99.90681804125475, ""event_weight"": 1.8177543212418936}"
RF,ACQUA,50,3.3081,"{""event_weight"": 7.064646914419925, ""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 121}"
MLP,ACQUA,50,2.8338,"{""batch_size"": 32, ""epochs"": 300, ""event_weight"": 9.787931935842602, ""hidden"": [32, 32], ""lr"": 0.00998243416553324, ""patience"": 20}"
LSTM,ACQUA,50,2.9318,"{""batch_size"": 16, ""epochs"": 300, ""hidden"": 37, ""lookback"": 14, ""lr"": 0.0005081016831930547, ""patience"": 20}"
Ridge,TERRA,9,3.0955,"{""alpha"": 0.018552681119016094, ""event_weight"": 1.0002480509041243}"
RF,TERRA,9,2.8258,"{""event_weight"": 9.698755352731423, ""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 113}"
MLP,TERRA,9,2.0331,"{""batch_size"": 64, ""epochs"": 300, ""event_weight"": 1.0224165581780906, ""hidden"": [128, 64, 32], ""lr"": 0.0036013865378047272, ""patience"": 20}"
LSTM,TERRA,9,2.7954,"{""batch_size"": 16, ""epochs"": 300, ""hidden"": 58, ""lookback"": 14, ""lr"": 0.0009954158424646765, ""patience"": 20}"
Ridge,METEO,135,3.9806,"{""alpha"": 99.89904264686228, ""event_weight"": 1.014832669554902}"
RF,METEO,135,3.0047,"{""event_weight"": 9.228271956173026, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 169}"
MLP,METEO,135,2.8026,"{""batch_size"": 16, ""epochs"": 300, ""event_weight"": 7.6538515730369046, ""hidden"": [32, 32], ""lr"": 0.003876538788079492, ""patience"": 20}"
LSTM,METEO,135,2.9492,"{""batch_size"": 64, ""epochs"": 300, ""hidden"": 16, ""lookback"": 14, ""lr"": 0.0006987501760045141, ""patience"": 20}"
Ridge,TERRA_ACQUA,59,3.1491,"{""alpha"": 99.06533171401067, ""event_weight"": 6.175829196130604}"
RF,TERRA_ACQUA,59,2.8253,"{""event_weight"": 4.48659555250005, ""max_depth"": null, ""min_samples_leaf"": 2, ""n_estimators"": 100}"
MLP,TERRA_ACQUA,59,2.6932,"{""batch_size"": 16, ""epochs"": 300, ""event_weight"": 8.017143220651878, ""hidden"": [64, 32], ""lr"": 0.006425432552779617, ""patience"": 20}"
LSTM,TERRA_ACQUA,59,2.1692,"{""batch_size"": 32, ""epochs"": 300, ""hidden"": 47, ""lookback"": 14, ""lr"": 0.0009168438323357748, ""patience"": 20}"
Ridge,TERRA_METEO,144,4.018,"{""alpha"": 99.90595058038323, ""event_weight"": 5.707041634999143}"
RF,TERRA_METEO,144,2.926,"{""event_weight"": 9.30611739073827, ""max_depth"": 4, ""min_samples_leaf"": 3, ""n_estimators"": 195}"
MLP,TERRA_METEO,144,2.7921,"{""batch_size"": 16, ""epochs"": 300, ""event_weight"": 8.459374472258007, ""hidden"": [32, 32], ""lr"": 0.008722273450537861, ""patience"": 20}"
LSTM,TERRA_METEO,144,2.688,"{""batch_size"": 32, ""epochs"": 300, ""hidden"": 23, ""lookback"": 14, ""lr"": 0.0007084474506185598, ""patience"": 20}"
Ridge,ACQUA_METEO,185,3.9097,"{""alpha"": 99.80476531737334, ""event_weight"": 1.2209559163171944}"
RF,ACQUA_METEO,185,2.955,"{""event_weight"": 9.989516011872137, ""max_depth"": 4, ""min_samples_leaf"": 2, ""n_estimators"": 181}"
MLP,ACQUA_METEO,185,2.7848,"{""batch_size"": 64, ""epochs"": 300, ""event_weight"": 9.300180114087812, ""hidden"": [64, 32], ""lr"": 0.0038980912055587725, ""patience"": 20}"
LSTM,ACQUA_METEO,185,2.9822,"{""batch_size"": 64, ""epochs"": 300, ""hidden"": 27, ""lookback"": 14, ""lr"": 0.0005915899442332537, ""patience"": 20}"
Ridge,TOTALE,215,3.9953,"{""alpha"": 99.53124699385216, ""event_weight"": 2.897501329485217}"
RF,TOTALE,215,2.9501,"{""event_weight"": 7.155073051162985, ""max_depth"": 8, ""min_samples_leaf"": 2, ""n_estimators"": 120}"
MLP,TOTALE,215,2.6988,"{""batch_size"": 32, ""epochs"": 300, ""event_weight"": 7.0223496386332664, ""hidden"": [128, 64, 32], ""lr"": 0.008453616218915659, ""patience"": 20}"
LSTM,TOTALE,215,2.5865,"{""batch_size"": 32, ""epochs"": 300, ""hidden"": 56, ""lookback"": 14, ""lr"": 0.0005821400829905269, ""patience"": 20}"
