model,feature_set,horizon,split,event_weight,n,MAE,RMSE,R2,ev_n,ev_MAE,dc_n,dc_MAE
Ridge,ACQUA,t+1,train,1.8177543212418936,1108,1.7646,3.6573,0.9549,331,1.9193,777,1.6987
Ridge,ACQUA,t+2,train,1.8177543212418936,1108,2.9483,5.1869,0.9088,331,2.9627,777,2.9422
Ridge,ACQUA,t+3,train,1.8177543212418936,1108,3.8435,6.1344,0.8716,331,3.6403,777,3.9301
Ridge,ACQUA,t+4,train,1.8177543212418936,1108,4.5443,6.8682,0.8383,331,4.1794,777,4.6997
Ridge,ACQUA,t+5,train,1.8177543212418936,1108,5.1028,7.4638,0.8084,331,4.6016,777,5.3164
Ridge,ACQUA,t+6,train,1.8177543212418936,1108,5.5773,7.9913,0.7797,331,4.97,777,5.836
Ridge,ACQUA,t+7,train,1.8177543212418936,1108,5.9974,8.3955,0.7561,331,5.3856,777,6.258
Ridge,ACQUA,ALL,train,1.8177543212418936,7756,4.254,6.7096,0.846,2317,3.9513,5439,4.383
Ridge,ACQUA,t+1,val,1.8177543212418936,135,1.387,2.7097,0.956,37,1.9315,98,1.1814
Ridge,ACQUA,t+2,val,1.8177543212418936,135,2.4553,4.2932,0.8884,37,3.1843,98,2.1801
Ridge,ACQUA,t+3,val,1.8177543212418936,135,3.0512,4.7165,0.8641,37,3.3883,98,2.9239
Ridge,ACQUA,t+4,val,1.8177543212418936,135,3.4218,4.9002,0.8517,37,3.4412,98,3.4145
Ridge,ACQUA,t+5,val,1.8177543212418936,135,3.7778,5.2075,0.8312,37,3.6969,98,3.8083
Ridge,ACQUA,t+6,val,1.8177543212418936,135,4.258,5.6663,0.7982,37,3.9891,98,4.3596
Ridge,ACQUA,t+7,val,1.8177543212418936,135,4.7927,6.2035,0.7654,37,4.4195,98,4.9336
Ridge,ACQUA,ALL,val,1.8177543212418936,945,3.3062,4.9243,0.8519,259,3.4358,686,3.2573
Ridge,ACQUA,t+1,test,1.8177543212418936,144,2.028,3.9858,0.9082,35,3.6375,109,1.5111
Ridge,ACQUA,t+2,test,1.8177543212418936,144,3.1291,5.0805,0.8456,35,4.0097,109,2.8463
Ridge,ACQUA,t+3,test,1.8177543212418936,144,3.7997,5.6973,0.8,35,4.5525,109,3.5579
Ridge,ACQUA,t+4,test,1.8177543212418936,144,3.9252,5.8526,0.7857,35,4.9881,109,3.5839
Ridge,ACQUA,t+5,test,1.8177543212418936,144,4.0004,5.655,0.7995,35,4.8849,109,3.7163
Ridge,ACQUA,t+6,test,1.8177543212418936,144,4.7009,6.6625,0.7254,35,5.1104,109,4.5694
Ridge,ACQUA,t+7,test,1.8177543212418936,144,5.7177,7.7075,0.6445,35,6.1651,109,5.5741
Ridge,ACQUA,ALL,test,1.8177543212418936,1008,3.9001,5.9062,0.788,245,4.764,763,3.6227
RF,ACQUA,t+1,train,7.064646914419925,1108,1.7221,3.6603,0.9548,331,1.733,777,1.7175
RF,ACQUA,t+2,train,7.064646914419925,1108,2.8129,5.0712,0.9128,331,2.5672,777,2.9175
RF,ACQUA,t+3,train,7.064646914419925,1108,3.6939,5.9396,0.8797,331,3.1348,777,3.932
RF,ACQUA,t+4,train,7.064646914419925,1108,4.3546,6.6158,0.85,331,3.6548,777,4.6528
RF,ACQUA,t+5,train,7.064646914419925,1108,4.8737,7.2109,0.8212,331,4.1126,777,5.1979
RF,ACQUA,t+6,train,7.064646914419925,1108,5.3519,7.715,0.7947,331,4.5458,777,5.6953
RF,ACQUA,t+7,train,7.064646914419925,1108,5.7307,8.1444,0.7705,331,5.0496,777,6.0209
RF,ACQUA,ALL,train,7.064646914419925,7756,4.0771,6.5029,0.8553,2317,3.5426,5439,4.3048
RF,ACQUA,t+1,val,7.064646914419925,135,1.3593,2.6783,0.957,37,1.9363,98,1.1415
RF,ACQUA,t+2,val,7.064646914419925,135,2.3448,3.9546,0.9053,37,2.9779,98,2.1058
RF,ACQUA,t+3,val,7.064646914419925,135,2.9752,4.3516,0.8844,37,3.145,98,2.9111
RF,ACQUA,t+4,val,7.064646914419925,135,3.4342,4.6678,0.8654,37,3.1904,98,3.5263
RF,ACQUA,t+5,val,7.064646914419925,135,3.8338,5.0708,0.8399,37,3.3932,98,4.0002
RF,ACQUA,t+6,val,7.064646914419925,135,4.3413,5.6053,0.8025,37,3.8424,98,4.5296
RF,ACQUA,t+7,val,7.064646914419925,135,4.8681,6.303,0.7578,37,4.3868,98,5.0498
RF,ACQUA,ALL,val,7.064646914419925,945,3.3081,4.7869,0.8601,259,3.2674,686,3.3235
RF,ACQUA,t+1,test,7.064646914419925,144,1.9733,4.0223,0.9065,35,3.7096,109,1.4157
RF,ACQUA,t+2,test,7.064646914419925,144,3.0386,5.1845,0.8393,35,3.9331,109,2.7514
RF,ACQUA,t+3,test,7.064646914419925,144,3.7458,5.704,0.7996,35,4.3607,109,3.5484
RF,ACQUA,t+4,test,7.064646914419925,144,4.1441,6.1528,0.7631,35,4.699,109,3.9659
RF,ACQUA,t+5,test,7.064646914419925,144,4.5201,6.36,0.7464,35,5.4281,109,4.2285
RF,ACQUA,t+6,test,7.064646914419925,144,5.0252,6.904,0.7051,35,5.3492,109,4.9211
RF,ACQUA,t+7,test,7.064646914419925,144,5.8701,7.8751,0.6288,35,6.2461,109,5.7494
RF,ACQUA,ALL,test,7.064646914419925,1008,4.0453,6.1364,0.7711,245,4.818,763,3.7972
MLP,ACQUA,t+1,train,9.787931935842602,1108,1.5169,3.6272,0.9556,331,1.562,777,1.4976
MLP,ACQUA,t+2,train,9.787931935842602,1108,2.5453,5.0939,0.912,331,2.3258,777,2.6388
MLP,ACQUA,t+3,train,9.787931935842602,1108,3.3823,5.9418,0.8796,331,2.8066,777,3.6275
MLP,ACQUA,t+4,train,9.787931935842602,1108,4.0141,6.6021,0.8506,331,3.1499,777,4.3822
MLP,ACQUA,t+5,train,9.787931935842602,1108,4.5528,7.2159,0.8209,331,3.5392,777,4.9846
MLP,ACQUA,t+6,train,9.787931935842602,1108,5.0345,7.727,0.7941,331,3.9302,777,5.5049
MLP,ACQUA,t+7,train,9.787931935842602,1108,5.4394,8.1205,0.7718,331,4.4227,777,5.8725
MLP,ACQUA,ALL,train,9.787931935842602,7756,3.7836,6.4996,0.8555,2317,3.1052,5439,4.0726
MLP,ACQUA,t+1,val,9.787931935842602,135,1.0945,2.6967,0.9564,37,1.5278,98,0.931
MLP,ACQUA,t+2,val,9.787931935842602,135,2.0165,3.9293,0.9065,37,2.4635,98,1.8477
MLP,ACQUA,t+3,val,9.787931935842602,135,2.4881,3.9478,0.9048,37,2.351,98,2.5399
MLP,ACQUA,t+4,val,9.787931935842602,135,2.8579,4.1187,0.8952,37,2.2436,98,3.0897
MLP,ACQUA,t+5,val,9.787931935842602,135,3.2833,4.5203,0.8728,37,2.4957,98,3.5806
MLP,ACQUA,t+6,val,9.787931935842602,135,3.7836,5.0474,0.8399,37,2.9145,98,4.1117
MLP,ACQUA,t+7,val,9.787931935842602,135,4.3131,5.7898,0.7957,37,3.3659,98,4.6707
MLP,ACQUA,ALL,val,9.787931935842602,945,2.8338,4.3865,0.8825,259,2.4803,686,2.9673
