model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,pinball_loss,coverage_50,sharpness_50,coverage_90,sharpness_90
MLP-QuantileRegression-Optuna,ACQUA,t+1,train,11.1646,14.0993,0.3296,0.6164,2.9584,31.13,24.52,21.91,0.1392,0.1758,80.2128,1108,3.3636,0.5406,21.0902,0.8682,42.7293
MLP-QuantileRegression-Optuna,ACQUA,t+2,train,11.0596,13.9622,0.3391,0.6189,2.7072,30.73,24.38,21.75,0.1379,0.1741,80.2128,1108,3.337,0.5244,20.4206,0.8755,42.7506
MLP-QuantileRegression-Optuna,ACQUA,t+3,train,10.952,13.8096,0.3495,0.6218,2.2097,30.3,24.22,21.59,0.1365,0.1722,80.2128,1108,3.3204,0.5063,20.1053,0.8736,43.3483
MLP-QuantileRegression-Optuna,ACQUA,t+4,train,10.82,13.6866,0.3578,0.6305,2.6717,30.16,24.01,21.38,0.1349,0.1706,80.2128,1108,3.2934,0.5181,19.9018,0.852,41.1057
MLP-QuantileRegression-Optuna,ACQUA,t+5,train,10.8864,13.7515,0.3496,0.6256,2.4599,30.49,24.23,21.57,0.1357,0.1714,80.2128,1108,3.3137,0.5108,19.0221,0.8619,42.0908
MLP-QuantileRegression-Optuna,ACQUA,t+6,train,10.9903,13.842,0.3391,0.622,2.6987,31.07,24.51,21.82,0.137,0.1726,80.2128,1108,3.3219,0.5117,19.9171,0.8926,43.7156
MLP-QuantileRegression-Optuna,ACQUA,t+7,train,10.9507,13.6798,0.3525,0.6187,1.676,30.36,24.47,21.79,0.1365,0.1705,80.2128,1108,3.3222,0.4946,19.2811,0.8881,43.9308
MLP-QuantileRegression-Optuna,ACQUA,ALL,train,10.9748,13.8337,0.3454,0.6211,2.4831,30.61,24.33,21.69,0.1368,0.1725,80.2128,7756,3.3246,0.5152,19.9626,0.8731,42.8102
MLP-QuantileRegression-Optuna,ACQUA,t+1,val,9.7193,11.6646,0.1847,0.4872,2.9539,24.62,20.91,19.47,0.1777,0.2132,54.7076,135,2.8405,0.6,22.0797,0.9852,42.2964
MLP-QuantileRegression-Optuna,ACQUA,t+2,val,9.8746,11.76,0.1623,0.4653,2.9869,24.96,21.29,19.94,0.1786,0.2127,55.2959,135,2.8823,0.5704,21.547,0.9926,43.0344
MLP-QuantileRegression-Optuna,ACQUA,t+3,val,10.0861,11.9175,0.1326,0.4349,2.9987,25.51,21.85,20.61,0.1916,0.2264,52.6303,135,2.9234,0.5407,21.128,0.9926,43.5526
MLP-QuantileRegression-Optuna,ACQUA,t+4,val,10.373,12.2662,0.0705,0.4091,3.7612,26.48,22.53,21.44,0.2043,0.2415,50.782,135,2.946,0.5407,20.9984,0.9926,41.4987
MLP-QuantileRegression-Optuna,ACQUA,t+5,val,10.503,12.3225,0.0546,0.394,3.869,26.91,22.93,21.92,0.2054,0.2409,51.1448,135,2.9849,0.5037,19.9942,0.9778,42.1995
MLP-QuantileRegression-Optuna,ACQUA,t+6,val,10.7568,12.64,-0.0042,0.3411,4.0345,27.68,23.5,22.53,0.2124,0.2496,50.6437,135,3.03,0.4963,20.9506,0.9852,43.6761
MLP-QuantileRegression-Optuna,ACQUA,t+7,val,10.8849,12.6364,0.0267,0.318,2.8617,27.45,23.84,22.82,0.2078,0.2412,52.3881,135,3.1054,0.4889,20.2734,0.9704,43.7495
MLP-QuantileRegression-Optuna,ACQUA,ALL,val,10.314,12.1781,0.0943,0.41,3.3523,26.23,22.41,21.23,0.1858,0.2194,55.5171,945,2.9589,0.5344,20.9959,0.9852,42.8582
MLP-QuantileRegression-Optuna,ACQUA,t+1,test,10.6331,12.8506,0.0455,0.3241,2.2735,26.85,22.94,21.89,0.2028,0.2452,52.4191,144,3.1795,0.5625,22.7563,0.9514,43.1824
MLP-QuantileRegression-Optuna,ACQUA,t+2,test,10.5882,12.814,0.0181,0.3038,2.291,26.72,22.91,21.95,0.2018,0.2443,52.4615,144,3.1709,0.5833,22.2431,0.9514,44.2652
MLP-QuantileRegression-Optuna,ACQUA,t+3,test,10.4657,12.657,0.0131,0.2951,2.0946,26.37,22.79,21.82,0.1995,0.2413,52.4615,144,3.1519,0.5486,21.9361,0.9583,44.9293
MLP-QuantileRegression-Optuna,ACQUA,t+4,test,10.8543,13.1362,-0.0798,0.228,2.551,27.45,23.6,22.76,0.2069,0.2504,52.4615,144,3.2305,0.5694,21.7792,0.9444,42.9936
MLP-QuantileRegression-Optuna,ACQUA,t+5,test,10.8633,13.1367,-0.0821,0.1966,2.3314,27.63,23.69,22.8,0.2071,0.2504,52.4615,144,3.2561,0.5139,20.5812,0.9167,43.6699
MLP-QuantileRegression-Optuna,ACQUA,t+6,test,11.1846,13.5342,-0.1331,0.1335,2.4818,28.43,24.28,23.46,0.2132,0.258,52.4615,144,3.3734,0.5625,21.7586,0.9375,44.9736
MLP-QuantileRegression-Optuna,ACQUA,t+7,test,11.1369,13.6907,-0.1217,0.118,1.7571,29.11,24.61,23.55,0.1824,0.2243,61.0471,144,3.4156,0.5417,20.919,0.9306,45.0756
MLP-QuantileRegression-Optuna,ACQUA,ALL,test,10.818,13.1218,-0.0465,0.233,2.2544,27.51,23.54,22.6,0.1707,0.2071,63.3612,1008,3.254,0.5546,21.7105,0.9415,44.1557
MLP-QuantileRegression-Optuna,TERRA,t+1,train,1.4889,3.106,0.9675,0.9839,-0.3387,3.39,3.37,2.92,0.0186,0.0387,80.2128,1108,0.5646,0.7942,3.3297,0.9513,9.2572
MLP-QuantileRegression-Optuna,TERRA,t+2,train,2.1136,4.4863,0.9318,0.9663,-0.7432,4.51,4.62,4.16,0.0263,0.0559,80.2128,1108,0.7683,0.6922,3.4769,0.9449,12.7577
MLP-QuantileRegression-Optuna,TERRA,t+3,train,2.7499,5.3411,0.9027,0.9517,-0.9311,5.8,5.98,5.42,0.0343,0.0666,80.2128,1108,0.9598,0.6516,4.593,0.9431,15.5464
MLP-QuantileRegression-Optuna,TERRA,t+4,train,3.2186,5.8061,0.8844,0.9425,-0.9891,6.79,6.95,6.36,0.0401,0.0724,80.2128,1108,1.0912,0.6444,5.6409,0.9143,15.9053
MLP-QuantileRegression-Optuna,TERRA,t+5,train,3.6102,5.9988,0.8762,0.937,-0.7051,7.83,7.81,7.15,0.045,0.0748,80.2128,1108,1.1947,0.6264,6.517,0.9206,17.0906
MLP-QuantileRegression-Optuna,TERRA,t+6,train,3.9321,6.2895,0.8636,0.9303,-0.7494,8.57,8.47,7.81,0.049,0.0784,80.2128,1108,1.2863,0.5839,6.8791,0.9134,17.8924
MLP-QuantileRegression-Optuna,TERRA,t+7,train,4.2105,6.5522,0.8514,0.9242,-0.8767,9.16,9.02,8.38,0.0525,0.0817,80.2128,1108,1.3701,0.5614,7.1434,0.9179,19.2678
MLP-QuantileRegression-Optuna,TERRA,ALL,train,3.0462,5.4836,0.8971,0.9482,-0.7619,6.58,6.6,6.02,0.038,0.0684,80.2128,7756,1.0336,0.6506,5.3686,0.9293,15.3882
MLP-QuantileRegression-Optuna,TERRA,t+1,val,1.2057,2.8888,0.95,0.9764,-0.7298,2.41,2.54,2.41,0.022,0.0528,54.7076,135,0.4918,0.8074,3.01,0.963,8.3869
