model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,pinball_loss,coverage_50,sharpness_50,coverage_90,sharpness_90
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+1,train,1.4818,3.5885,0.9566,0.9782,-0.3439,3.11,3.17,2.91,0.0185,0.0447,80.2128,1108,0.5436,0.5298,1.6519,0.9016,5.5927
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+2,train,2.4648,4.9774,0.916,0.9576,-0.5515,5.09,5.21,4.85,0.0307,0.0621,80.2128,1108,0.8692,0.4675,2.5563,0.8944,9.7866
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+3,train,3.268,5.7963,0.8854,0.9414,-0.478,6.9,6.96,6.44,0.0407,0.0723,80.2128,1108,1.1213,0.4865,3.7876,0.8962,12.9002
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+4,train,3.8924,6.4873,0.8557,0.9256,-0.5355,8.34,8.34,7.69,0.0485,0.0809,80.2128,1108,1.3209,0.4792,4.7286,0.8854,15.0799
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+5,train,4.4057,7.0747,0.8278,0.9106,-0.6301,9.59,9.52,8.73,0.0549,0.0882,80.2128,1108,1.484,0.4919,5.5816,0.8836,16.9101
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+6,train,4.8587,7.572,0.8022,0.8962,-0.5305,10.83,10.62,9.65,0.0606,0.0944,80.2128,1108,1.6319,0.463,6.1703,0.8872,19.2134
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+7,train,5.3168,7.9959,0.7788,0.883,-0.4804,12.03,11.68,10.58,0.0663,0.0997,80.2128,1108,1.7629,0.4801,7.2671,0.8908,21.0793
MLP-QuantileRegression-Residual-Optuna,ACQUA,ALL,train,3.6697,6.3769,0.8609,0.9283,-0.5071,7.98,7.93,7.25,0.0457,0.0795,80.2128,7756,1.2477,0.4854,4.5348,0.8913,14.366
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+1,val,1.1169,2.4266,0.9647,0.9824,-0.2013,2.23,2.27,2.24,0.0204,0.0444,54.7076,135,0.3846,0.4963,1.4316,0.9333,5.2078
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+2,val,2.0559,3.7337,0.9156,0.9576,-0.4915,4.11,4.17,4.15,0.0372,0.0675,55.2959,135,0.7085,0.3852,2.3142,0.9407,9.4297
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+3,val,2.5213,3.9432,0.905,0.9521,-0.3816,5.23,5.2,5.15,0.0479,0.0749,52.6303,135,0.8526,0.4667,3.5467,0.9407,12.7591
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+4,val,2.8852,4.177,0.8922,0.9456,-0.2867,6.12,6.02,5.96,0.0568,0.0823,50.782,135,0.9655,0.4667,4.5352,0.9704,15.2703
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+5,val,3.2924,4.5755,0.8697,0.9339,-0.2742,7.04,6.92,6.87,0.0644,0.0895,51.1448,135,1.0915,0.4667,5.3981,0.9481,17.3258
MLP-QuantileRegression-Residual-Optuna,ACQUA,t+6,val,3.7829,5.1182,0.8354,0.9153,-0.2176,8.15,8.01,7.92,0.0747,0.1011,50.6437,135,1.2424,0.5111,6.1329,0.9333,19.8014
